character	killed by	death	type	quest
<1> Black Diablos	Hunter (MHWI) | Serious Handler	Hunted by the Hunter, contracted by the Serious Handler		★7 Two-horned Hostility
<1> Black Diablos	Hunter (MHWI) | Third Fleet Master	Hunted by the Hunter, contracted by the Third Fleet Master		★7 RRRRRumble in the Waste!
<1> Blackveil Vaal Hazak	Hunter (MHWI) | Seliana Armory	Slain by the Hunter, contracted by the Seliana Armory		MR★5 It's the Afterlife for Me
<1> Blackveil Vaal Hazak	Hunter (MHWI) | Third Fleet Master	Slain by the Hunter, contracted by the Third Fleet Master		MR★5 Here Comes the Deathmaker
<1> Brachydios	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Brachydios
<1> Brachydios	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★3 Blast Warning In Effect!
<1> Brachydios	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader		MR★6 We Run This Town
<1> Brachydios	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★3 Festival of Explosions!
<1> Brute Tigrex	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★6 Special Arena: MR Brute Tigrex
<1> Coral Pukei-Pukei	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★2 Special Arena: MR Coral Pukei-Pukei
<1> Coral Pukei-Pukei	Hunter (MHWI) | Serious Handler	Hunted by the Hunter, contracted by the Serious Handler		MR★2 Protip: Stay Hydrated
<1> Deviljho	Hunter (MHWI) | Handler	Hunted by the Hunter, contracted by the Handler		★7 Today's Special: Hunter Flambé
<1> Diablos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Diablos
<1> Diablos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★5 Special Arena: Diablos
<1> Diablos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★7 Special Arena: HR Diablos
<1> Diablos	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★3 A Line in the Sand
<1> Diablos	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★5 Twin Spires Upon the Sands
<1> Diablos	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★7 Well, That Diablos!
<1> Diablos	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★9 The White Winds of the New World
<1> Diablos	Hunter (MHWI) | Third Fleet Master	Hunted by the Hunter, contracted by the Third Fleet Master		★7 RRRRRumble in the Waste!
<1> Dodogama	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★1 Can't Bring Yourself To It
<1> Dodogama	Hunter (MHWI) | Serious Handler	Hunted by the Hunter, contracted by the Serious Handler		★6 Dodogama Drama
<1> Ebony Odogaron	Hunter (MHWI)	Hunted by the Hunter, contracted by an unknown client		MR★4 A Shadowy Offender
<1> Ebony Odogaron	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★4 Special Arena: MR Ebony Odogaron
<1> Ebony Odogaron	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		MR★4 Misfortune in the Forest
<1> Ebony Odogaron	Hunter (MHWI) | Housekeeper	Hunted by the Hunter, contracted by the Housekeeper		MR★4 The Purr-fect Room: Dark Iron
<1> Fulgur Anjanath	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★4 Special Arena: MR Fulgur Anjanath
<1> Fulgur Anjanath	Hunter (MHWI) | Vice Chief Ecologist	Hunted by the Hunter, contracted by the Vice Chief Ecologist		MR★4 Tundra Troublemaker
<1> Furious Rajang	Hunter (MHWI) | Analytics Director	Hunted by the Hunter, contracted by the Analytics Director		MR★6 All That Glitters is Furious
<1> Glavenus	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Glavenus
<1> Glavenus	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		MR★3 The Secret to a Good Slice
<1> Glavenus	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader		MR★6 We Run This Town
<1> Glavenus	Hunter (MHWI) | Grammeowster Chef	Hunted by the Hunter, contracted by the Grammeowster Chef		MR★3 Simmer and Slice!
<1> Glavenus	Hunter (MHWI) | Vice Chief Ecologist	Hunted by the Hunter, contracted by the Vice Chief Ecologist		MR★3 A Flash of the Blade
<1> Gold Rathian	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★6 Special Arena: MR Gold Rathian
<1> Gold Rathian	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★6 Hymn of Moon and Sun
<1> Great Girros	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★1 Grinding my Girros
<1> Great Girros	Hunter (MHWI) | Stunned Researcher	Hunted by the Hunter, contracted by the Stunned Researcher		★4 A Rotten Thing To Do
<1> Great Girros	Hunter (MHWI) | Third Fleet Master	Hunted by the Hunter, contracted by the Third Fleet Master		★6 A Tingling Taste
<1> Great Jagras	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★2 The Great Glutton
<1> Great Jagras	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Hard to Swallow
<1> Great Jagras	Hunter (MHWI) | Elder Melder	Hunted by the Hunter, contracted by the Elder Melder		MR★1 The Great Jagras Returns!
<1> Jyuratodus	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★3 The Piscine Problem
<1> Jyuratodus	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Up to Your Waist in the Waste
<1> Jyuratodus	Hunter (MHWI) | Elder Melder	Hunted by the Hunter, contracted by the Elder Melder		MR★1 Jyura In My Way
<1> Kirin	Hunter (MHWI) | Impatient Biologist	Slain by the Hunter, contracted by the Impatient Biologist		★5 Gone in a Flash
<1> Kirin	Hunter (MHWI) | Impatient Biologist	Slain by the Hunter, contracted by the Impatient Biologist		★8 Lightning Strikes Twice
<1> Kirin	Hunter (MHWI) | Smart Biologist	Slain by the Hunter, contracted by the Smart Biologist		MR★5 Lightning Crashes
<1> Kulu-Ya-Ku	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★1 Literary Thief
<1> Kulu-Ya-Ku	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★2 Camp Crasher
<1> Kulu-Ya-Ku	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		MR★1 Wildspire Treasure Hunt
<1> Kulu-Ya-Ku	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Keep Your Hands to Yourself!
<1> Kushala Daora	Hunter (MHWI) | Admiral	Slain by the Hunter, contracted by the Admiral		★8 The Winds of Wrath Bite Deep
<1> Kushala Daora	Hunter (MHWI) | Armory	Slain by the Hunter, contracted by the Armory		★8 A Portent of Disaster
<1> Kushala Daora	Hunter (MHWI) | Blunt Elder Dragon Scholar	Slain by the Hunter, contracted by the Blunt Elder Dragon Scholar		MR★5 The Harbinger of Clear Skies
<1> Kushala Daora	Hunter (MHWI) | Calm Third	Slain by the Hunter, contracted by the Calm Third		MR★5 Wings of the Wind
<1> Kushala Daora	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★8 Master of the Gale
<1> Lavasioth	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★7 A Fiery Convergence
<1> Lavasioth	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★3 Everyone's a Critic
<1> Lavasioth	Hunter (MHWI) | Serious Handler	Hunted by the Hunter, contracted by the Serious Handler		★7 Lavasioth, Monster of Magma
<1> Legiana	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Legiana
<1> Legiana	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★5 Special Arena: Legiana
<1> Legiana	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★7 Special Arena: HR Legiana
<1> Legiana	Hunter (MHWI) | Chief Botanist	Hunted by the Hunter, contracted by the Chief Botanist		★7 Talons of Ire and Ice
<1> Legiana	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★3 Legiana Left Behind
<1> Legiana	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★5 A Humid Headache
<1> Legiana	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★7 Legiana: Highlands Royalty
<1> Legiana	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★9 The White Winds of the New World
<1> Legiana	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★4 Duet of Rime
<1> Lunastra	Hunter (MHWI) | Chief Ecologist	Slain by the Hunter, contracted by the Chief Ecologist		★8 Infernal Monarchy
<1> Lunastra	Hunter (MHWI) | Endemic Life Researcher	Slain by the Hunter, contracted by the Endemic Life Researcher		★8 Blue Prominence
<1> Lunastra	Hunter (MHWI) | Provisions Manager	Slain by the Hunter, contracted by the Provisions Manager		MR★6 Into the Palace of Flame
<1> Lunastra	Hunter (MHWI) | Reminiscing Researcher	Slain by the Hunter, contracted by the Reminiscing Researcher		MR★6 One Hot Night in the Spire
<1> Namielle	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		MR★5 Memories of the Sea God
<1> Nargacuga	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Nargacuga
<1> Nargacuga	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		MR★3 The Black Wind
<1> Nargacuga	Hunter (MHWI) | Field Team Leader	Hunted by the Hunter, contracted by the Field Team Leader		MR★6 We Run This Town
<1> Nargacuga	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★3 Red and Black Aces
<1> Nargacuga	Hunter (MHWI) | Tenacious Handler	Hunted by the Hunter, contracted by the Tenacious Handler		MR★3 Nargacoulda, Shoulda, Woulda
<1> Nergigante	Hunter (MHWI) | Admiral	Slain by the Hunter, contracted by the Admiral		★8 The Eater of Elders
<1> Nightshade Paolumu	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★2 Special Arena: MR Nightshade Paolumu
<1> Nightshade Paolumu	Hunter (MHWI) | Gathering Felyne	Hunted by the Hunter, contracted by the Gathering Felyne		MR★2 A Face Nightmares Are Made Of
<1> Odogaron	Hunter (MHWI) | Airship Engineer	Hunted by the Hunter, contracted by the Airship Engineer		★7 A Sore Site
<1> Odogaron	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Odogaron
<1> Odogaron	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★5 Special Arena: Odogaron
<1> Odogaron	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★7 Special Arena: HR Odogaron
<1> Odogaron	Hunter (MHWI) | Chief Botanist	Hunted by the Hunter, contracted by the Chief Botanist		★7 Talons of Ire and Ice
<1> Odogaron	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★3 Don't be a Jerk with the Jerky
<1> Odogaron	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★5 Scratching the Itch
<1> Odogaron	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★7 Odogaron Unleashed
<1> Odogaron	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★9 The White Winds of the New World
<1> Odogaron	Hunter (MHWI) | Housekeeper	Hunted by the Hunter, contracted by the Housekeeper		MR★4 The Purr-fect Room: Dark Iron
<1> Paolumu	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★2 Special Arena: MR Paolumu
<1> Paolumu	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★4 Special Arena: Paolumu
<1> Paolumu	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★6 Special Arena: HR Paolumu
<1> Paolumu	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★2 The Plight of Paolumu
<1> Paolumu	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★4 Sorry You're Not Invited
<1> Paolumu	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Loop the Paolumu
<1> Pink Rathian	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★2 Special Arena: MR Pink Rathian
<1> Pink Rathian	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★7 Special Arena: HR Pink Rathian
<1> Pink Rathian	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★2 Pink Power Grab
<1> Pink Rathian	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★7 A Cherry Wind upon the Reefs
<1> Pink Rathian	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★7 Pretty In Pink
<1> Pink Rathian	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★2 Feisty Girl Talk
<1> Pukei-Pukei	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★1 Special Arena: MR Pukei-Pukei
<1> Pukei-Pukei	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★3 Special Arena: Pukei-Pukei
<1> Pukei-Pukei	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★6 Special Arena: HR Pukei-Pukei
<1> Pukei-Pukei	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★1 New World Problems
<1> Pukei-Pukei	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★3 Scatternut Shortage
<1> Pukei-Pukei	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		MR★1 Taster's Tour
<1> Pukei-Pukei	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Googly-eyed Green Monster
<1> Pukei-Pukei	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Pukei-Pukei Ambush
<1> Radobaan	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★2 Special Arena: MR Radobaan
<1> Radobaan	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★4 Special Arena: Radobaan
<1> Radobaan	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★6 Special Arena: HR Radobaan
<1> Radobaan	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★2 No Laughing Matter
<1> Radobaan	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★4 A Bone to Pick
<1> Radobaan	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Stuck in a Rut
<1> Radobaan	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★3 Runnin', Rollin', and Weepin'
<1> Raging Brachydios	Hunter (MHWI) | Gallant Hunter	Slain by the Hunter, contracted by the Gallant Hunter		MR★6 Achy Brachy Heart
<1> Rathalos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★3 Special Arena: MR Rathalos
<1> Rathalos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★5 Special Arena: Rathalos
<1> Rathalos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★7 Special Arena: HR Rathalos
<1> Rathalos	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★5 Redefining the 'Power Couple'
<1> Rathalos	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★7 The Red and Blue Crew
<1> Rathalos	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★3 Swoop to a New Low
<1> Rathalos	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		★5 When Desire Becomes an Obsession
<1> Rathalos	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★7 Rathalos Rematch
<1> Rathalos	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★9 The White Winds of the New World
<1> Rathalos	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★3 Red and Black Aces
<1> Rathian	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★2 Special Arena: MR Rathian
<1> Rathian	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★4 Special Arena: Rathian
<1> Rathian	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		★6 Special Arena: HR Rathian
<1> Rathian	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★5 Redefining the 'Power Couple'
<1> Rathian	Hunter (MHWI) | Chief Ecologist	Hunted by the Hunter, contracted by the Chief Ecologist		MR★2 Fool's Mate
<1> Rathian	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 Brown Desert, Green Queen
<1> Rathian	Hunter (MHWI) | Commander	Hunted by the Hunter, contracted by the Commander		★6 The Sleeping Sylvan Queen
<1> Rathian	Hunter (MHWI) | Grammeowster Chef	Hunted by the Hunter, contracted by the Grammeowster Chef		MR★3 Simmer and Slice!
<1> Rathian	Hunter (MHWI) | Laid-back Botanist	Hunted by the Hunter, contracted by the Laid-back Botanist		★4 Royal Relocation
<1> Rathian	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★2 Feisty Girl Talk
<1> Rathian	Hunter (MHWI) | Seliana Melder	Hunted by the Hunter, contracted by the Seliana Melder		MR★2 A Queen At Heart
<1> Ruiner Nergigante	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★6 Master Hunter of the New World
<1> Savage Deviljho	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★5 The Tyrant's Banquet
<1> Seething Bazelgeuse	Hunter (MHWI) | Motivated Fourth	Hunted by the Hunter, contracted by the Motivated Fourth		MR★5 Seething with Anger
<1> Shara Ishvalda	Hunter (MHWI) | Tracker	Slain by the Hunter, contracted by the Tracker		MR★6 Faraway Lorelei
<1> Shrieking Legiana	Hunter (MHWI) | Confused Expert	Hunted by the Hunter, contracted by the Confused Expert		MR★4 Noblefrost Hunter
<1> Shrieking Legiana	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★4 Duet of Rime
<1> Silver Rathalos	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★6 Special Arena: MR Silver Rathalos
<1> Silver Rathalos	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★6 Hymn of Moon and Sun
<1> Stygian Zinogre	Hunter (MHWI) | Arena Lass	Hunted by the Hunter, contracted by the Arena Lass		MR★6 Special Arena: MR Stygian Zinogre
<1> Tempered Azure Rathalos	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★9 New World Sky, New World Flower
<1> Tempered Banbaro	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★1 This Here's Big Horn Country!
<1> Tempered Barioth	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★3 Proud White Knight
<1> Tempered Barroth	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★9 Showdown: the Muck and the Maul
<1> Tempered Beotodus	Hunter (MHWI) | Boaboa Commander	Hunted by the Hunter, contracted by the Boaboa Commander		MR★2 By Our Powers Combined
<1> Tempered Beotodus	Hunter (MHWI) | Lynian Researcher	Hunted by the Hunter, contracted by the Lynian Researcher		MR★2 You Scratch Our Backs...
<1> Tempered Black Diablos	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★4 Piercing Black
<1> Tempered Blackveil Vaal Hazak	Hunter (MHWI) | Seliana Armory	Slain by the Hunter, contracted by the Seliana Armory		MR★6 The Storm Brings the Unexpected
<1> Tempered Coral Pukei-Pukei	Hunter (MHWI) | Seliana Armory	Hunted by the Hunter, contracted by the Seliana Armory		MR★2 Put That Red Cup Away
<1> Tempered Kirin	Hunter (MHWI) | Seliana Armory	Slain by the Hunter, contracted by the Seliana Armory		MR★6 Divine Surge
<1> Tempered Kushala Daora	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★9 The Sapphire Star's Guidance
<1> Tempered Kushala Daora	Hunter (MHWI) | Seliana Armory	Slain by the Hunter, contracted by the Seliana Armory		MR★6 The Storm Brings the Unexpected
<1> Tempered Lunastra	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★6 Master Hunter of the New World
<1> Tempered Namielle	Hunter (MHWI) | Seliana Armory	Slain by the Hunter, contracted by the Seliana Armory		MR★6 Divine Surge
<1> Tempered Nergigante	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★9 The Sapphire Star's Guidance
<1> Tempered Odogaron	Hunter (MHWI) | Armory	Hunted by the Hunter, contracted by the Armory		★9 A Summons from Below
