character	killed by	death	type	quest
<1> Legiana	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Gale & Fangs Slay Event 2
<1> Legiana	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Gale & Fangs Slay Event 3
<1> Lunastra	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★8 The Hunter and The Blue Empress
<1> Namielle	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★5 A Star That Will Never Dim
<1> Namielle	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★5 Aiming for the Light
<1> Nargacuga	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★3 Arena Master Quest 03
<1> Nergigante	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★8 Nergigante Slay Event 1
<1> Nergigante	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★8 Nergigante Slay Event 2
<1> Nergigante	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★8 Nergigante Slay Event 3
<1> Nergigante	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★8 Nergigante Slay Event 4
<1> Nergigante	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★8 The Best of the Best
<1> Nergigante	Hunter (MHWI) | Martial Artist in Red	Slain by the Hunter, contracted by the Arena Lass		★8 The Awakened Satsui No Hado I
<1> Nergigante	Hunter (MHWI) | Martial Artist in Red	Slain by the Hunter, contracted by the Arena Lass		★8 The Awakened Satsui No Hado II
<1> Nergigante	Hunter (MHWI) | Martial Artist in Red	Slain by the Hunter, contracted by the Arena Lass		★8 The Awakened Satsui No Hado III
<1> Nightshade Paolumu	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★2 Arena Master Quest 02
<1> Odogaron	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★4 Arena Master Quest 05
<1> Odogaron	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Gale & Fangs Slay Event 1
<1> Odogaron	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Gale & Fangs Slay Event 2
<1> Odogaron	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Gale & Fangs Slay Event 3
<1> Paolumu	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★4 Challenge Quest 2: Beginner
<1> Pink Rathian	Hunter (MHWI) | Super Female Martial Artist	Slain by the Hunter, contracted by the Super Female Martial Artist		★7 Empress in Full Bloom I
<1> Pink Rathian	Hunter (MHWI) | Super Female Martial Artist	Slain by the Hunter, contracted by the Super Female Martial Artist		★7 Empress in Full Bloom II
<1> Pink Rathian	Hunter (MHWI) | Super Female Martial Artist	Slain by the Hunter, contracted by the Super Female Martial Artist		★7 Empress in Full Bloom III
<1> Pukei-Pukei	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★1 Arena Quest 01
<1> Pukei-Pukei	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★2 Challenge Quest 1: Beginner
<1> Radobaan	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★8 Arena Quest 08
<1> Rathalos	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Challenge Quest 1: Intermediate
<1> Rathalos	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★7 What Lurks In The Forest
<1> Rathalos	Hunter (MHWI) | Stupendous Crew	Slain by the Hunter, contracted by the Stupendous Crew		★5 USJ Expert Challenge!
<1> Rathian	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★4 Arena Quest 03
<1> Rathian	Hunter (MHWI) | Stupendous Crew	Slain by the Hunter, contracted by the Stupendous Crew		★4 USJ Expert Challenge!
<1> Ruiner Nergigante	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★6 Power and Technique
<1> Scarred Yian Garuga	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★6 Fear No Scars
<1> Stygian Zinogre	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★6 Power and Technique
<1> Tempered Bazelgeuse	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★9 Challenge Quest 1: Expert
<1> Tempered Nergigante	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★9 Challenge Quest 2: Expert
<1> Tempered Savage Deviljho	Hunter (MHWI) | Pub Arena Manager	Slain by the Hunter, contracted by the Pub Arena Manager		MR★6 Challenge Quest 2: MR Expert
<1> Tempered Uragaan	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★9 Challenge Quest 1: Expert
<1> Teostra	Hunter (MHWI) | Commander	Slain by the Hunter, contracted by the Commander		★8 The Best of the Best
<1> Tigrex	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★6 Arena Master Quest 07
<1> Tigrex	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★3 The True Tyrant
<1> Tobi-Kadachi	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★4 Challenge Quest 2: Beginner
<1> Tobi-Kadachi	Hunter (MHWI) | Pub Arena Manager	Slain by the Hunter, contracted by the Pub Arena Manager		MR★2 Challenge Quest 1: MR Intermediate
<1> Tzitzi-Ya-Ku	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★6 Arena Quest 04
<1> Tzitzi-Ya-Ku	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Challenge Quest 1: Intermediate
<1> Tzitzi-Ya-Ku	Hunter (MHWI) | Stupendous Crew	Slain by the Hunter, contracted by the Stupendous Crew		★4 USJ Beginners Challenge!
<1> Uragaan	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★8 Arena Quest 08
<1> Velkhana	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★5 Farewell to the Frozen
<1> Velkhana	Hunter (MHWI) | Field Team Leader	Slain by the Hunter, contracted by the Field Team Leader		MR★5 Wearer of the Iceborne Crown
<1> Viper Tobi-Kadachi	Hunter (MHWI) | Pub Arena Manager	Slain by the Hunter, contracted by the Pub Arena Manager		MR★2 Challenge Quest 1: MR Intermediate
<1> Yian Garuga	Hunter (MHWI) | Pub Arena Manager	Slain by the Hunter, contracted by the Pub Arena Manager		MR★6 Challenge Quest 1: MR Expert
<1> Zinogre	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		MR★6 Arena Master Quest 06
<2> Odogaron	Hunter (MHWI) | Arena Lass	Slain by the Hunter, contracted by the Arena Lass		★7 Challenge Quest 2: Intermediate
<30> Vespoid	Hunter (MHWI) | Second Fleet Architect	Slain by the Hunter, contracted by the Second Fleet Architect		★2 Vespoid Infestation!
