character	killed by	death	type	loop
<3+> Axul women	Karl Kaelstrife	Murdered by the Silverfangs on orders from Karl Kaelstrife (several mentioned)		
<3+> Axul children	Karl Kaelstrife	Murdered by the Silverfangs on orders from Karl Kaelstrife (several mentioned)		
<3+> Axul monsters	Karl Kaelstrife	Cut down by Karl Kaelstrife (several mentioned)		
<3+> Axuls	Karl Kaelstrife	Cut down by Karl Kaelstrife (several mentioned)		
<3+> Silverfangs	Spurius Axul	Slain by the Axuls led by Spurius Axul (several mentioned)		
Karl Kaelstrife	Spurius Axul	Neck snapped by Spurius Axul (reanimated as an undead)	undead	
Nilson	Spurius Axul	Neck snapped by Spurius Axul		
Daniels	Spurius Axul	Presumably murdered by the Axuls led by Spurius Axul		
<200+> Silverfangs	Spurius Axul	Presumably murdered by the Axuls led by Spurius Axul (count mentioned)		



{56} Goren Shein	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
<3+> adventurers	Goren Shein	Slain by Goren Shein during a previous loop (several mentioned) (reset by Dolos via his System)	undone	-55 to 0
Lady Mikaela	Goren Shein	Slain by Goren Shein during a previous loop (reset by Dolos via his System)	undone	-55 to 0
Stephan Lorren	Goren Shein	Slain by Goren Shein during a previous loop (reset by Dolos via his System)	undone	-55 to 0
{3+} Yvon Leskins	Goren Shein	Murdered several times in previous loops by Goren Shein (reset by Dolos via his System)	undone	-55 to 0

{56} Aidan Dar	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Alfred Jones	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Bernard	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Dalton	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Dina	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Evangelina Volker	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Fiona	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Henry	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Jax of Belenia	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{55} Lady Mikaela	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned, minus Goren's kill) (reset by Dolos via his System)	undone	-55 to 0
{56} Lena Lethen	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Luke Hargreaves	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Melissa	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Miss Belle	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{55} Stephan Lorren	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned, minus Goren's kill) (reset by Dolos via his System)	undone	-55 to 0
{56} Tagan	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Waylan	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{56} Yana	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned) (reset by Dolos via his System)	undone	-55 to 0
{53} Yvon Leskins	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (previous loop count mentioned, minus Goren's kills) (reset by Dolos via his System)	undone	-55 to 0
<4,421+> adventurers	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (100 adventurers, minus 20 named and Aric Kelltins, 79 * 56 previous loops, minus 3 Goren kills) (reset by Dolos via his System)	undone	-55 to 0

{52} Goren Shein	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 12 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 4, 36, 37, 38, 55, 57, 58, 59, 60, 61, 62, 64
{63} Alfred Jones	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 1 known death) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 36
{61} Bernard	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 3 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 1, 2, 6
{64} Dalton	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64) (reset by Chronos via the Déjà Vu System)	undone	1 to 64
{62} Dina	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 2 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 3, 37
{63} Evangelina Volker	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 1 known death) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 36
{62} Fiona	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 2 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 38
{62} Henry	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 2 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 37
{61} Jax of Belenia	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 3 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 37, 38
{63} Lady Mikaela	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 1 known death) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 36
{63} Lena Lethen	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 1 known death) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 37
{63} Luke Hargreaves	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 1 known death) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 38
{62} Melissa	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 2 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 2, 4
{64} Miss Belle	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64) (reset by Chronos via the Déjà Vu System)	undone	1 to 64
{63} Stephan Lorren	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 1 known death) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 36
{61} Tagan	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 3 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 1, 2, 6
{62} Waylan	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 2 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 37
{54} Yana	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 10 known deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 1, 2, 3, 6, two loops between 7 and 13, 14, 15, 36
{63} Yvon Leskins	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (loop count up to 64 minus 1 known death) (reset by Chronos via the Déjà Vu System)	undone	1 to 64, except 36
<2,835+> adventurers	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (100 adventurers, minus 20 named and Aric Kelltins, 79 * 37 loops, 2923 minus 88 counted deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 37
<2,160+> adventurers	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (100 adventurers, minus 20 named, 80 * 27 loops) (reset by Chronos via the Déjà Vu System)	undone	38 to 64

<3+> Razor Serpents	Yana	Slain by Yana (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	1
Tagan	Gaelith's Darkness | Erebus | Gaelith Alloraine	Murdered by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	1
Bernard	Gaelith's Darkness | Erebus | Gaelith Alloraine	Murdered by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	1
Yana	Yana | Gaelith's Darkness | Erebus | Gaelith Alloraine	Blew herself up using Fire Burst while fighting Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	1
Aidan Dar	Gaelith's Darkness | Erebus | Gaelith Alloraine	Impaled with one of its appendages by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	1

<3+> Undead Warriors	Jax of Belenia	Slain with offensive spells by Jax of Belenia (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Undead Warriors	Jax of Belenia | Aidan Dar | Lena Lethen | Waylan | Henry | Dina | Goren Shein	Slain by Jax of Belenia's squad (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Undead Archers	Jax of Belenia | Aidan Dar | Lena Lethen | Waylan | Henry | Dina | Goren Shein	Slain by Jax of Belenia's squad (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<17+> adventurers	Erebus	Mauled by the pack of Undead Wolves summoned by Erebus (count mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<1> Undead Wolf	Yana | Aidan Dar	Slashed and burned by Yana and Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	2
Pack Leader	Lady Mikaela	Slain by Lady Mikaela (reset by Chronos via the Déjà Vu System)	undone	2
<3+> adventurers	Erebus	Murdered by Grave Moles and Void Spiders summoned by Erebus (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> adventurers	Erebus	Murdered in an ambush by Wraiths summoned by Erebus (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<1> Priestess of Axul	Stephan Lorren	Obliterated to dust with Arcane Burst by Stephan Lorren (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Razor Serpents	Goren Shein	Torn through by Goren Shein (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
Melissa	Erebus	Squeezed and shredded by Razor Serpents summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Razor Serpents	Yana	Slain by Yana (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
Tagan	Gaelith's Darkness | Erebus | Gaelith Alloraine	Murdered by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	2
Bernard	Gaelith's Darkness | Erebus | Gaelith Alloraine	Murdered by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	2
Yana	Yana | Gaelith's Darkness | Erebus | Gaelith Alloraine	Blew herself up using Fire Burst while fighting Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	2
Aidan Dar	Gaelith's Darkness | Erebus | Gaelith Alloraine	Impaled with one of its appendages by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	2

<8> Undead Warriors	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	3
<3+> Undead Warriors	Jax of Belenia | Henry	Slain with magical strikes by Jax of Belenia and Henry (reset by Chronos via the Déjà Vu System)	undone	3
<1> Undead Wolf	Yana | Aidan Dar	Slashed and burned by Yana and Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	3
Pack Leader	Lady Mikaela	Slain by Lady Mikaela (reset by Aidan Dar's Checkpoint)	undone	3
<17+> adventurers	Erebus	Mauled by the pack of Undead Wolves summoned by Erebus (count mentioned) (reset by Aidan Dar's Checkpoint)	undone	3
<1> healer	Erebus	Bisected by a Grave Mole summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	3
Dina	Erebus	Leg severed clean off and dragged into the ground by a Grave Mole summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	3
<3+> adventurers	Erebus	Slaughtered by Grave Moles and Void Spiders summoned by Erebus (several mentioned) (reset by Aidan Dar's Checkpoint)	undone	3
Aidan Dar	Erebus	Impaled through the chest by a Grave Mole summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	3
<1> Undead Wolf	Yana | Aidan Dar	Slashed and burned by Yana and Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	3
Pack Leader	Lady Mikaela	Slain by Lady Mikaela (reset by Chronos via the Déjà Vu System)	undone	3
<17+> adventurers	Erebus	Mauled by the pack of Undead Wolves summoned by Erebus (count mentioned) (reset by Chronos via the Déjà Vu System)	undone	3
<1> Dark Hunter	Lady Mikaela	Skewered with a spear by Lady Mikaela (reset by Chronos via the Déjà Vu System)	undone	3
<2> Dark Hunters	Goren Shein	Cut down by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	3
<1> Dark Hunter	Goren Shein	Slammed to the ground and stabbed in the gut by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	3
<1> Dark Hunter	Lady Mikaela	Cut down by Lady Mikaela (reset by Chronos via the Déjà Vu System)	undone	3
Yana	Erebus | Chronos	Neck sliced by a Dark Hunter summoned by Erebus, via manipulation by Chronos (reset by Chronos via the Déjà Vu System)	undone	3
<1> Grave Mole	Aidan Dar | Goren Shein	Slain by Aidan Dar and Goren Shein (reset by Chronos via the Déjà Vu System)	undone	3
Aidan Dar	Erebus	Ensnared in a web by a Void Spider and clawed by a Grave Mole summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	3

<8> Undead Warriors	Aidan Dar	Slain by Aidan Dar (384 - 112 = 272 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	4
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	4
<5> Undead Warriors	Aidan Dar	Slain by Aidan Dar (170 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	4
<3+> Razor Serpents	Goren Shein	Cut down by Goren Shein (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	4
<2+> Razor Serpents	Yana | Tagan	Slain by Yana and Tagan (plural) (reset by Chronos via the Déjà Vu System)	undone	4
<1> Razor Serpent	Aidan Dar | Goren Shein	Stabbed by Aidan Dar while held down by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	4
Melissa	Erebus	Crushed by one of the Razor Serpents summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	4
Goren Shein	Erebus	Murdered by one of Erebus' monsters (reset by Chronos via the Déjà Vu System)	undone	4
Aidan Dar	Erebus	Murdered by one of Erebus' monsters (reset by Chronos via the Déjà Vu System)	undone	4

<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (976 - 216 = 760 XP gained, one Wolf being worth 318 XP and the rest gained through Undead Warriors) (reset by Chronos via the Déjà Vu System)	undone	5
<13> Undead Warriors	Aidan Dar	Slain by Aidan Dar (976 - 216 = 760 XP gained, minus 318 XP for the Undead Wolf, leaves 442 XP, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	5
<6> Void Spiders	Aidan Dar	Incinerated with an oil flask by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	5
Aidan Dar	Arachnid Mother | Erebus	Head bitten off by the Arachnid Mother summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	5

<10> Undead Warriors	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	6
Tagan	Goren Shein	Throat slit with a dagger by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	6
Bernard	Goren Shein	Beheaded with a sword by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	6
Yana	Goren Shein	Bled out after being cut several times by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	6
Aidan Dar	Goren Shein	Neck broken by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	6

{2} Yana	Goren Shein	Murdered several times at the start of the loop by Goren Shein (3 times minus loop 14) (reset by Chronos via the Déjà Vu System)	undone	7 to 13
{7} Aidan Dar	Goren Shein	Murdered several times at the start of the loop by Goren Shein (8 times minus loop 14) (reset by Chronos via the Déjà Vu System)	undone	7 to 13

Yana	Goren Shein	Murdered by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	14
Aidan Dar	Goren Shein	Stabbed in the head with a thrown dagger by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	14

<15> Undead Warriors	Aidan Dar	Slain by Aidan Dar (510 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	15
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (318 XP gained, each one being worth 318 XP) (reset by Chronos via the Déjà Vu System)	undone	15
<7> Undead Warriors	Aidan Dar	Slain by Aidan Dar (238 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	15
Undead General Kaelstrife	Aidan Dar | Yana	Slain by Aidan Dar and Yana (reanimated as Dark Undead General Kaelstrife by Erebus)	revived	15
Yana	Dark Undead General Kaelstrife | Erebus	Incinerated with dark flames by Dark Undead General Kaelstrife, reanimated by Erebus (reset by Chronos via the Déjà Vu System)	undone	15
Aidan Dar	Dark Undead General Kaelstrife | Erebus	Incinerated with dark flames by Dark Undead General Kaelstrife, reanimated by Erebus (reset by Chronos via the Déjà Vu System)	undone	15

<18> Undead Warriors	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	16
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	16
Aidan Dar	Erebus	Neck bitten while mauled by Undead Wolves summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	16
<3> Undead Wolves	Aidan Dar	Incinerated and stabbed by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	16
Aidan Dar	High Priestess of Axul | Erebus	Frozen by the High Priestess of Axul summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	16

<23> Undead Warriors	Aidan Dar	Slain by Aidan Dar (2500 - 1886 = 614, 614 + 168 = 782 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	17
{18} Aidan Dar	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (reset by Chronos via the Déjà Vu System)	undone	17-34

Aidan Dar	Pack Leader | Erebus	Mauled by the Pack Leader summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	35
<90> Undead Wolves	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	35
Aidan Dar	Pack Leader | Erebus	Mauled by the Pack Leader summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	35

<20> Undead Warriors	Aidan Dar	Slain by Aidan Dar (680 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	36
<2> Undead Wolves	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	36
<17> Undead Warriors	Aidan Dar	Slain by Aidan Dar (578 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	36
<3> Void Spiders	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	36
<14> Void Spiders	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	36
Undead General Kaelstrife	Aidan Dar	Impaled through his gut with a sword by Aidan Dar		36
Aidan Dar	Arachnid Mother | Erebus	Slammed with her legs by the Arachnid Mother summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	36
Lady Mikaela	Gaelith of Tepan	Slain by Gaelith of Tepan (reset by Chronos via the Déjà Vu System)	undone	36
Stephan Lorren	Gaelith of Tepan	Slain by Gaelith of Tepan (reset by Chronos via the Déjà Vu System)	undone	36
<48+> adventurers	Gaelith of Tepan	Slain by Gaelith of Tepan (dozens upon dozens mentioned) (reset by Chronos via the Déjà Vu System)	undone	36
Aidan Dar	Gaelith of Tepan	Obliterated with light by Gaelith of Tepan (reset by Chronos via the Déjà Vu System)	undone	36
Yana	Gaelith of Tepan	Obliterated with light by Gaelith of Tepan (reset by Chronos via the Déjà Vu System)	undone	36
Yvon Leskins	Goren Shein	Murdered by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
Alfred Jones	Goren Shein	Murdered by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
Evangelina Volker	Goren Shein	Murdered by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
Mole King	Goren Shein	Slain by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
<2> Blood Wraiths	Goren Shein	Obliterated into dust with a pillar of magic by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
<1> Blood Wraith	Goren Shein	Obliterated into dust when shot with the Golden Bow by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
<4> Blood Wraiths	Goren Shein	Cut down by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
Goren Shein	Aric Kelltins	Slain by Aric Kelltins and trapped in chains for the next loop (reset by Chronos via the Déjà Vu System)	undone	36


<20> Undead Warriors	Aidan Dar	Slain by Aidan Dar (680 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	37
<1> Blood Wraith	Aric Kelltins | Jax of Belenia | Henry	Crushed with an axe by Aric Kelltins while distracted by Jax of Belenia and Henry (reset by Chronos via the Déjà Vu System)	undone	37
<1> Blood Wraith	Aidan Dar | Aric Kelltins	Stabbed by Aidan Dar after being hit with an axe by Aric Kelltins (reset by Chronos via the Déjà Vu System)	undone	37
<1> Blood Wraith	Aric Kelltins | Waylan	Struck with an axe by Aric Kelltins while held up by Waylan (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Split in two with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Impaled through the head with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Cleaved through with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Stabbed twice with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Head pierced with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<4> Void Scorpions	Aidan Dar	Cut through their carapaces with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<3+> Void Wasps	Gaelith of Tepan	Obliterated with light by Gaelith of Tepan (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	37
<3+> Void Wasps	Gaelith of Tepan	Cut down with a blade by Gaelith of Tepan (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	37
Dina	Aric Kelltins	Murdered by Aric Kelltins (reset by Chronos via the Déjà Vu System)	undone	37
Lena Lethen	Aric Kelltins	Murdered by Aric Kelltins (reset by Chronos via the Déjà Vu System)	undone	37
Waylan	Aric Kelltins	Murdered by Aric Kelltins (reset by Chronos via the Déjà Vu System)	undone	37
Henry	Aric Kelltins	Murdered by Aric Kelltins (reset by Chronos via the Déjà Vu System)	undone	37
Jax of Belenia	Aric Kelltins	Murdered by Aric Kelltins (reset by Chronos via the Déjà Vu System)	undone	37
Aidan Dar	Erebus	Ripped to shreds by an explosion caused by Boomspite Lichlings summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	37
