character	killed by	death	type	loop
<1> 6th Floor monster	Kim Gong-Ja	Slain by Kim Gong-Ja (undone via Returner's Clockwork Watch)	undone	4093
Yoo Soo-Ha	Kim Gong-Ja	Throat slit and stabbed in the neck multiple times by Kim Gong-Ja (undone via Returner's Clockwork Watch)	undone	4093
Kim Gong-Ja	Marcus Calenbury | Kim Gong-Ja	Beheaded by Marcus Calenbury after purposefully angering him by talking about his grandchildren (undone via Returner's Clockwork Watch)	undone	4093

<2+> mobs	Kim Gong-Ja | Bae Hu-Ryeong	Slain by Kim Gong-Ja on orders from Bae Hu-Ryeong (plural)		4094
Yoo Soo-Ha	Kim Gong-Ja	Murdered by Kim Gong-Ja		4094
<1> orc	Kim Gong-Ja	Impaled with a dagger by Kim Gong-Ja (undone via Returner's Clockwork Watch)	undone	4094
Kim Gong-Ja	Bae Hu-Ryeong	Head crushed with a club by an orc, orchestrated by Bae Hu-Ryeong (undone via Returner's Clockwork Watch)	undone	4094

<1> orc	Kim Gong-Ja	Throat slit with a dagger by Kim Gong-Ja		4095
{5} Kim Gong-Ja		Died 5 times while fighting the 5th Floor Goblin King (undone via Returner's Clockwork Watch)	undone	4095 to 4099

<1> 5th Floor Goblin King	Kim Gong-Ja	Slain by Kim Gong-Ja		4100
Kim Gong-Ja	Hellfire Maiden | Kim Gong-Ja	Incinerated by the Hellfire Maiden, orchestrated by himself (undone via Returner's Clockwork Watch)	undone	4100

Hellfire Maiden	Hellfire Maiden | Kim Gong-Ja	Incinerated herself after being found by Kim Gong-Ja during Hide and Seek		4101
<6> 11th Floor monsters	Marcus Calenbury	Beheaded by Marcus Calenbury (undone via Returner's Clockwork Watch)	undone	4101
<3+> 11th Floor monsters	Marcus Calenbury	Slaughtered by Marcus Calenbury (several mentioned) (undone via Returner's Clockwork Watch)	undone	4101
Kim Gong-Ja	Sarbast Aegim | Kim Gong-Ja	Neck cut off by Sarbast Aegim on his own orders (undone via Returner's Clockwork Watch)	undone	4101

<3+> 11th Floor monsters	Marcus Calenbury	Slaughtered by Marcus Calenbury (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<3+> 11th Floor monsters	Heresy Inquisitor	Slaughtered by Heresy Inquisitor (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<3+> 11th Floor monsters	Viper	Slaughtered by Viper (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<3+> 11th Floor monsters	Paladin	Slaughtered by Paladin (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<3+> 11th Floor monsters	Black Dragon Witch	Slaughtered by Black Dragon Witch (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<3+> 11th Floor monsters	Countess	Slaughtered by Countess (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<3+> 11th Floor monsters		Slain by the 8th ranked hunter (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<3+> 11th Floor monsters		Slain by the 9th ranked hunter (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<3+> 11th Floor monsters		Slain by the 10th ranked hunter (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4102
<1> 11th Floor Goblin King	Kim Gong-Ja	Beheaded with the Holy Sword of the Goddess of Protection by Kim Gong-Ja (undone via Returner's Clockwork Watch)	undone	4102
<2,000+> 11th Floor monsters	Kim Gong-Ja | Sarbast Aegim	Slain by hunters and Aegim Empire soldiers, led by Kim Gong-Ja and Sarbast Aegim (thousands mentioned) (undone via Returner's Clockwork Watch)	undone	4102
<1> 8th ranked hunter	Heresy Inquisitor	Murdered by Heresy Inquisitor (undone via Returner's Clockwork Watch)	undone	4102
<1> 10th ranked hunter	Viper | Heresy Inquisitor	Cut in half by Viper on orders from Heresy Inquisitor (undone via Returner's Clockwork Watch)	undone	4102
<1> 9th ranked hunter	Heresy Inquisitor	Head exploded by Heresy Inquisitor (undone via Returner's Clockwork Watch)	undone	4102
Countess	Demon King	Crushed with a sword by the Demon King (undone via Returner's Clockwork Watch)	undone	4102
<2> goblins	Kim Gong-Ja | Bae Hu-Ryeong	Cut down by Kim Gong-Ja on orders from Bae Hu-Ryeong (undone via Returner's Clockwork Watch)	undone	4102
<1> goblin	Kim Gong-Ja | Bae Hu-Ryeong	Beheaded by Kim Gong-Ja on orders from Bae Hu-Ryeong (undone via Returner's Clockwork Watch)	undone	4102
<1> orc	Kim Gong-Ja | Bae Hu-Ryeong	Slain by Kim Gong-Ja on orders from Bae Hu-Ryeong (undone via Returner's Clockwork Watch)	undone	4102
<3+> skeletons	Kim Gong-Ja | Bae Hu-Ryeong	Slain by Kim Gong-Ja on orders from Bae Hu-Ryeong (several mentioned) (undone via Returner's Clockwork Watch)	undone	4102
<3+> goblins	Kim Gong-Ja | Bae Hu-Ryeong	Slain by Kim Gong-Ja on orders from Bae Hu-Ryeong (several mentioned) (undone via Returner's Clockwork Watch)	undone	4102
<3+> orcs	Kim Gong-Ja | Bae Hu-Ryeong	Slain by Kim Gong-Ja on orders from Bae Hu-Ryeong (several mentioned) (undone via Returner's Clockwork Watch)	undone	4102
<1> goblin	Kim Gong-Ja | Bae Hu-Ryeong	Slain by Kim Gong-Ja on orders from Bae Hu-Ryeong (undone via Returner's Clockwork Watch)	undone	4102
<1> ogre	Kim Gong-Ja | Bae Hu-Ryeong	Neck cut by Kim Gong-Ja on orders from Bae Hu-Ryeong (undone via Returner's Clockwork Watch)	undone	4102
<20+> goblins	Marcus Calenbury	Beheaded by Marcus Calenbury (tens mentioned) (undone via Returner's Clockwork Watch)	undone	4102
<20+> orcs	Marcus Calenbury	Beheaded by Marcus Calenbury (tens mentioned) (undone via Returner's Clockwork Watch)	undone	4102
Kim Gong-Ja	Demon King | Kim Gong-Ja	Beheaded by the Demon King, orchestrated by himself (undone via Returner's Clockwork Watch)	undone	4102

{5} Kim Gong-Ja	Kim Gong-Ja	Cut his own throat several times with a dagger (undone via Returner's Clockwork Watch)	undone	4103 to 4107

<20> goblins	Marcus Calenbury	Beheaded by Marcus Calenbury (undone via Returner's Clockwork Watch)	undone	4108
<1> 11th Floor Goblin King	Kim Gong-Ja | Black Dragon Witch	Head split by Kim Gong-Ja after being teleported on top of the monster by Black Dragon Witch (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters	Marcus Calenbury	Slaughtered by Marcus Calenbury (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters	Heresy Inquisitor	Slaughtered by Heresy Inquisitor (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters	Viper	Slaughtered by Viper (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters	Paladin	Slaughtered by Paladin (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters	Black Dragon Witch	Slaughtered by Black Dragon Witch (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters	Countess	Slaughtered by Countess (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters		Slain by the 8th ranked hunter (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters		Slain by the 9th ranked hunter (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<3+> 11th Floor monsters		Slain by the 10th ranked hunter (present on contribution ranking) (undone via Returner's Clockwork Watch)	undone	4108
<2,000+> 11th Floor monsters	Black Dragon Witch | Heresy Inquisitor | Viper | Paladin | Countess	Slain by hunters, led by Black Dragon Witch, Heresy Inquisitor, Viper, Paladin and Countess (thousands mentioned) (undone via Returner's Clockwork Watch)	undone	4108

{1,000} Kim Gong-Ja	Demon King	Slain nearly a thousand times by the Demon King (undone via Returner's Clockwork Watch)	undone	4207 to 5206

<1> orc	Kim Gong-Ja	Neck torn apart by one of Kim Gong-Ja's skeletons (undone via Returner's Clockwork Watch)	undone	during 4207 to 5206
<20+> skeletons	Demon King	Swept away with a sword by the Demon King (tens mentioned) (undone via Returner's Clockwork Watch)	undone	during 4207 to 5206
<200+> goblins and orcs	Demon King	Incinerated with a sword by the Demon King (ten times the amount of skeletons) (undone via Returner's Clockwork Watch)	undone	during 4207 to 5206
{3+} Black Dragon Witch	Demon King	Swept away with a sword by the Demon King (several times during the loops) (undone via Returner's Clockwork Watch)	undone	during 4207 to 5206
{3+} Marcus Calenbury	Demon King	Swept away with a sword by the Demon King (several times during the loops) (undone via Returner's Clockwork Watch)	undone	during 4207 to 5206

<1,000> 11th Floor Goblin King	Kim Gong-Ja | Black Dragon Witch	Slain by Kim Gong-Ja after being teleported on top of the monster by Black Dragon Witch (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters	Marcus Calenbury	Slaughtered by Marcus Calenbury (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters	Heresy Inquisitor	Slaughtered by Heresy Inquisitor (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters	Viper	Slaughtered by Viper (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters	Paladin	Slaughtered by Paladin (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters	Black Dragon Witch	Slaughtered by Black Dragon Witch (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters	Countess	Slaughtered by Countess (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters		Slain by the 8th ranked hunter (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters		Slain by the 9th ranked hunter (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<3,000+> 11th Floor monsters		Slain by the 10th ranked hunter (present on contribution ranking) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206
<2,000,000+> 11th Floor monsters	Black Dragon Witch | Heresy Inquisitor | Viper | Paladin | Countess	Slain by hunters, led by Black Dragon Witch, Heresy Inquisitor, Viper, Paladin and Countess (thousands mentioned) (around 1000 loops) (undone via Returner's Clockwork Watch)	undone	4207 to 5206

<1> 11th Floor Goblin King	Kim Gong-Ja | Black Dragon Witch	Slain by Kim Gong-Ja after being teleported on top of the monster by Black Dragon Witch (successful loop)		5207
<3+> 11th Floor monsters	Marcus Calenbury	Slaughtered by Marcus Calenbury (present on contribution ranking) (successful loop)		5207
<3+> 11th Floor monsters	Heresy Inquisitor	Slaughtered by Heresy Inquisitor (present on contribution ranking) (successful loop)		5207
<3+> 11th Floor monsters	Viper	Slaughtered by Viper (present on contribution ranking) (successful loop)		5207
<3+> 11th Floor monsters	Paladin	Slaughtered by Paladin (present on contribution ranking) (successful loop)		5207
<3+> 11th Floor monsters	Black Dragon Witch	Slaughtered by Black Dragon Witch (present on contribution ranking) (successful loop)		5207
<3+> 11th Floor monsters	Countess	Slaughtered by Countess (present on contribution ranking) (successful loop)		5207
<3+> 11th Floor monsters		Slain by the 8th ranked hunter (present on contribution ranking) (successful loop)		5207
<3+> 11th Floor monsters		Slain by the 9th ranked hunter (present on contribution ranking) (successful loop)		5207
<3+> 11th Floor monsters		Slain by the 10th ranked hunter (present on contribution ranking) (successful loop)		5207
<2,000+> 11th Floor monsters	Black Dragon Witch | Heresy Inquisitor | Viper | Paladin | Countess	Slain by hunters, led by Black Dragon Witch, Heresy Inquisitor, Viper, Paladin and Countess (thousands mentioned) (successful loop)		5207

<1> zombie	Kim Gong-Ja	Neck cut through by Kim Gong-Ja



