character	killed by	death	type	loop
<1> familiar-obsessed soul mage	Sudomir Kandrei	Assassinated on orders from Sudomir Kandrei		
<1> fire-breathing beetle	Zorian Kazinski	Frozen solid by Zorian Kazinski	clone	69
<1> flying drake	Zorian Kazinski	Plowed into the ground due to a mental attack by Zorian Kazinski	clone	83
<1> giant centipede		Slain by the three remaining cultists	clone	84
<1> giant eagle	Oganj	Sliced into pieces by Oganj		final
<1> giant frog	Zorian Kazinski	Incinerated with fire spells by Zorian Kazinski	clone	82
<1> giant mole monster	Zorian Kazinski | Bridge of Moonlight Connecting Ten Thousand Shores	Lured into a minefield by Zorian Kazinski on request from Bridge of Moonlight Connecting Ten Thousand Shores	clone	69
<1> giant ooze	Silverlake	Frozen by Silverlake		final
<1> giant salamander	Zorian Kazinski	Head blown off with magic missiles by Zorian Kazinski	clone	60
<1> giant skeletal crocodile		Destroyed by the Eldemar vault defenders	clone	120
<1> grey hunter	Zach Noveda | Zorian Kazinski	Frozen by Zach Noveda, shredded by Zorian Kazinski and blown up by his golems	clone	95 to 100
<1> grey hunter	Zorian Kazinski | Zach Noveda	Crystallized after being shot in the head with crystal ooze essence bullets by Zorian Kazinski's Simulacrums, while distracted by the original and Zach Noveda	clone	112
<1> grey hunter	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda	clone	113
<1> grey hunter	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda after biting Zorian	clone	95 to 100
<1> grey hunter	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda after breaking Zach's legs	clone	95 to 100
<1> human mercenary	Red Robe	Soulkilled with a purple beam by Red Robe	clone	56
<1> mage	Quatach-Ichl | Xvim Chao	Impaled with a magic javelin sent by Quatach-Ichl and redirected by Xvim Chao	clone	93
<1> mage	Taiven	Incinerated with a vortex of fire by Taiven	clone	56
<1> mage	Zorian Kazinski	Shot by Zorian Kazinski's golems		final
<1> mage	Zorian Kazinski	Shot in the chest with magic missiles by Zorian Kazinski	clone	56
<1> mage	Zorian Kazinski	Shot in the head with a piercer by Zorian Kazinski	clone	85
<1> mage	Zorian Kazinski	Skull blown up with a beam by Zorian Kazinski	clone	93
<1> mage	Zorian Kazinski	Stabbed in the neck with a knife by Zorian Kazinski	clone	61
<1> mage	Zorian Kazinski	Struck in the face with a force lance by Zorian Kazinski's Simulacrum	clone	103
<1> massive man-eater catfish	Zorian Kazinski | Zach Noveda	Fished by Zorian Kazinski and Zach Noveda	clone	94
<1> old curse-breaking herbalist lady	Sudomir Kandrei	Assassinated on orders from Sudomir Kandrei		
<1> red centipede		Bludgeoned by Ibasan war trolls	clone	103
<1> rock worm	Zorian Kazinski	Sliced into pieces by mages on orders from Zorian Kazinski	clone	93
<1> skeletal dragon	Zorian Kazinski	Skull shattered by one of Zorian Kazinski's golems		final
<1> soulseizer chrysanthemum	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda on orders from Silverlake	clone	112
<1> student	Red Robe	Slain with magic by Red Robe	clone	56
<1> tunnel octopus	Zorian Kazinski	Incinerated with a ray of fire by Zorian Kazinski	clone	66
<1> undead boar	Lukav Teklo	Blown to bits by Lukav Teklo	clone	61
<1> undead crow	Zorian Kazinski	Blown up with a magic missile by Zorian Kazinski	clone	61
<1> winter wolf	Spear of Resolve Striking Straight at the Heart of the Matter	Bitten by a giant brown worm controlled by Spear of Resolve Striking Straight at the Heart of the Matter	clone	46
<1> winter wolf	Zach Noveda	Head blown off with a magic bolt by Zach Noveda	clone	1
<1> winter wolf	Zorian Kazinski	Slain and skinned by Zorian Kazinski	clone	60
<2+> eagle riders	Princess | Zorian Kazinski | Zach Noveda	Devoured and/or murdered by Princess on orders from Zorian Kazinski and Zach Noveda (plural)	clone	133
<2+> eagle riders	Quatach-Ichl	Murdered by Quatach-Ichl (plural)	clone	133
<2+> giant eagles	Princess | Zorian Kazinski | Zach Noveda	Devoured and/or murdered by Princess on orders from Zorian Kazinski and Zach Noveda (plural)	clone	133
<2+> giant eagles	Quatach-Ichl	Murdered by Quatach-Ichl (plural)	clone	133
<2+> other soul mages	Sudomir Kandrei	Assassinated on orders from Sudomir Kandrei (plural)		
<2+> rabbits	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda on orders from Silverlake (plural)	clone	112
<2+> war trolls	Zach Noveda	Frozen into statues by Zach Noveda (plural)	clone	102
<2+> war trolls	Zorian Kazinski	Beheaded with magic disks by Zorian Kazinski (plural)		final
<2+> winter wolves	Zorian Kazinski	Beheaded with magic disks by Zorian Kazinski (plural)		final
<2,000+> souls		Died and trapped in Iasku Mansion's well of souls (thousands mentioned)		
<2,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	129 to 132
<2,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	5 to 8
<2,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	71 to 74
<2,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	10 to 14
<2,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	122 to 126
<2,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	51 to 55
<20+> mages	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Slain by Quatach-Ichl during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (count mentioned)	clone	93
<200+> demons	Zorian Kazinski	Slaughtered by the angel tree summoned by Zorian Kazinski (hundreds mentioned)		final
<20> iron beaks	Alanic Zosk	Electrocuted with a dazzling beam by Alanic Zosk	clone	91
<2> Cirin woman's sons		Died during the Weeping Plague		
<2> Ibasan mages	Zorian Kazinski	Shot with piercers by Zorian Kazinski	clone	84
<2> Yellow Cavern Guardians successors		Murdered by a giant frog	clone	82
<2> araneas		Murdered by the ward-breaker while trying to corner him	clone	47
<2> araneas	Panaxeth	Drilled through with light beams by the Guardian of the Threshold controlled by Panaxeth	clone	133
<2> cave drakes		Slain by Ibasan guards	clone	87
<2> flesh golems	Zorian Kazinski	Torn apart by Zorian Kazinski's golems	clone	87
<2> giant brown salamanders	Silverlake	Slain and butchered by Silverlake	clone	112
<2> giant centipedes	Rea Sashal	Torn to pieces and sliced into sections by Rea Sashal	clone	83
<2> giant eagles	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Slain by Quatach-Ichl during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc	clone	94
<2> mages	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Savaged by an animated tiger cast by Quatach-Ichl's mages during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc	clone	93
<2> mages	Zorian Kazinski	Put down by Zorian Kazinski	clone	56
<2> other shifter children	Zorian Kazinski | Vatimah Tinc	Killed when Zorian Kazinski disrupted the ritual to free the Primordial performed by the Cult of the World Dragon, led by Vatimah Tinc	clone	93
<2> soul mage brothers	Sudomir Kandrei	Assassinated on orders from Sudomir Kandrei		
<2> students	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Pelted with wooden splinters and shrapnel via a blown open door by the invaders during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc	clone	46
<2> thunder lizards	Quatach-Ichl	Slain by Quatach-Ichl	clone	93
<2> thunder lizards	Zorian Kazinski	Slain by Cyoria's mages while fighting each other due to Zorian Kazinski's mental attacks	clone	83
<2> war trolls	Zorian Kazinski	Frozen and shattered into pieces by Zorian Kazinski	clone	86
<2> war trolls	Zorian Kazinski	Put down by Zorian Kazinski	clone	56
<3+> Eldemar treasury guards	Zorian Kazinski | Zach Noveda | Quatach-Ichl	Butchered by Zorian Kazinski, Zach Noveda and Quatach-Ichl (several mentioned)	clone	120
<3+> House Boranova members		Died during the Splinter Wars or the Weeping Plague (several mentioned)		
<3+> House Noveda members		Died during the Splinter Wars or the Weeping Plague (several mentioned)		
<3+> Ibasan brown dogs	Zorian Kazinski	Assassinated and replaced with copies by Zorian Kazinski (several mentioned)	clone	103
<3+> Ibasan leaders	Zorian Kazinski | Zach Noveda	Massacred by Zorian Kazinski and Zach Noveda (several mentioned)	clone	103
<3+> Ibasan soldiers	Zorian Kazinski	Sliced apart with buzzing spells by Zorian Kazinski's Simulacrum (several mentioned)	clone	103
<3+> animals	Princess	Crushed by Princess while chasing Zorian (several mentioned)	clone	128
<3+> araneas	Red Robe	Murdered by one of Red Robe's Simulacrums (several mentioned)		final
<3+> araneas	Red Robe	Murdered when trying to attack him by one of Red Robe's Simulacrums (several mentioned)		final
<3+> araneas	Red Robe	Soulkilled with purple beams by Red Robe (several mentioned)	clone	56
<3+> araneas	Red Robe | Spear of Resolve Striking Straight at the Heart of the Matter	Soulkilled by Red Robe as orchestrated by Spear of Resolve Striking Straight at the Heart of the Matter (several mentioned)	clone	56
<3+> artillery mages	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered by Quatach-Ichl during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (several mentioned)	clone	93
<3+> attackers	Kyron	Upper half sliced off by Kyron (several mentioned)	clone	9
<3+> carnivorous plants	Taiven	Incinerated by Taiven	clone	128
<3+> cephalic rats	Rea Sashal	Slain by Rea Sashal (several mentioned)		
<3+> chameleon drakes	Daimen Kazinski	Blown up in a minefield setup by Daimen Kazinski and his group (several mentioned)	clone	103
<3+> chameleon drakes	Daimen Kazinski	Slain with magic missiles by Daimen Kazinski (several mentioned)	clone	103
<3+> chameleon drakes	Zach Noveda	Impaled with stone shards by Zach Noveda (several mentioned)	clone	103
<3+> chameleon drakes	Zach Noveda	Insides liquefied with red light by Zach Noveda (several mentioned)	clone	103
<3+> chameleon drakes	Zach Noveda	Sliced apart with black swords by Zach Noveda (several mentioned)	clone	103
<3+> crewmembers	Zorian Kazinski	Cut to pieces with a severing whip by one of Zorian Kazinski's Simulacrums (several mentioned)	clone	120
<3+> crewmembers	Zorian Kazinski	Perished when their airship was crashed by one of Zorian Kazinski's Simulacrums (several mentioned)	clone	120
<3+> cultists	Zorian Kazinski	Cut down by Zorian Kazinski (several mentioned)		final
<3+> giant trapdoor spiders	Zorian Kazinski	Hunted by Zorian Kazinski (several mentioned)	clone	60
<3+> human mercenaries	Red Robe	Soulkilled with purple light by Red Robe (all mentioned)	clone	56
<3+> invisible mountain yetis	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda (several mentioned)	clone	94
<3+> iron beaks	Alanic Zosk	Incinerated with a firebird by Alanic Zosk (several mentioned)	clone	93
<3+> iron beaks	Taiven | Zorian Kazinski	Slain by Taiven and Zorian Kazinski (several mentioned)	clone	90
<3+> iron beaks	Zach Noveda	Crushed with a sphere by Zach Noveda (several mentioned)	clone	94
<3+> iron beaks	Zach Noveda	Incinerated with fireballs by Zach Noveda (several mentioned)	clone	1
<3+> iron beaks	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda (several mentioned)	clone	94
<3+> jewel wasps	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda (several mentioned)	clone	94
<3+> mages	Raynie | Haslush Ikzeteri	Throats ripped out by cat shifters, orchestrated by Raynie and Haslush Ikzeteri (several mentioned)		final
<3+> mages	Zach Noveda	Crushed by the ground beneath their feet via Zach Noveda's magic (several mentioned)	clone	93
<3+> mages	Zach Noveda	Shoved into the Hole by Zach Noveda's magical sphere (several mentioned)	clone	93
<3+> mages	Zach Noveda	Slain by Zach Noveda (several mentioned)	clone	93
<3+> mages	Zorian Kazinski	Buried in a corridor collapsed with an explosion by Zorian Kazinski (several mentioned)	clone	46
<3+> mages	Zorian Kazinski | Zach Noveda | Xvim Chao	Wiped out by Zorian Kazinski, Zach Noveda and Xvim Chao (several mentioned)	clone	93
<3+> magical creatures	Zorian Kazinski | Zach Noveda	Slain by Zorian Kazinski and Zach Noveda (several mentioned)	clone	94
<3+> monsters	Spear of Resolve Striking Straight at the Heart of the Matter	Murdered by a giant brown worm controlled by Spear of Resolve Striking Straight at the Heart of the Matter (several mentioned)	clone	46
<3+> people		Died of thirst while trapped within a Black Room (group mentioned)		
<3+> people		Slaughtered each other while trapped within a Black Room (group mentioned)		
<3+> rats	Zorian Kazinski	Eradicated by Zorian Kazinski (several mentioned)	clone	58
<3+> skeletons	Zach Noveda	Swallowed by the earth beneath their feet via a spell cast by Zach Noveda (several mentioned)	clone	1
<3+> trolls	Zach Noveda	Incinerated with a fireball by Zach Noveda (several mentioned)	clone	1
<3+> war trolls	Zach Noveda	Incinerated by Zach Noveda (several mentioned)	clone	9
<3+> war trolls	Zorian Kazinski	Buried in a corridor collapsed with an explosion by Zorian Kazinski (several mentioned)	clone	46
<3+> winter wolves	Briam	Incinerated by Briam's drake (several mentioned)	clone	9
<3+> winter wolves	Zach Noveda	Slain with magic by Zach Noveda (several mentioned)	clone	1
<3+> winter wolves	Zorian Kazinski	Hunted by Zorian Kazinski (all mentioned)	clone	60
<3,000+> Holakor villagers	Red Robe | Quatach-Ichl	Massacred by Red Robe and Quatach-Ichl's forces (300 mentioned per village, 10 villages hit)		final
<3,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	114 to 119
<3,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	40 to 45
<3,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	95 to 100
<3,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned per loop)	clone	105 to 111
<300+> skeleton warriors	Alanic Zosk	Soul pulled out by Alanic Zosk (several hundreds mentioned)	clone	93
<3> Skeleton Pirates brothers	Zach Noveda	Ship sunk in a previous loop by Zach Noveda	clone	-874 to 0
<3> Skeleton Pirates brothers	Zach Noveda | Alanic Zosk	Murdered by Zach Noveda and Alanic Zosk	clone	94
<3> battlegroup mages	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Slain by the invaders during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc	clone	93
<3> crewmembers	Zorian Kazinski	Cut to pieces with a severing whip by one of Zorian Kazinski's Simulacrums	clone	120
<3> cultists	Zorian Kazinski	Murdered by Zorian Kazinski	clone	84
<3> fly-mosquito-whatever things	Zorian Kazinski	Incinerated by Zorian Kazinski	clone	60
<3> giant centipedes	Zorian Kazinski	Frozen solid with a combat potion by Zorian Kazinski	clone	84
<3> mages	Zorian Kazinski	Cut in half with a severing beam by Zorian Kazinski	clone	93
<3> riflemen	Alanic Zosk	Incinerated with flaming projectiles by Alanic Zosk	clone	61
<3> trolls	Taiven	Incinerated with a vortex of fire by Taiven	clone	56
<3> undead corpses	Zorian Kazinski	Collapsed when Zorian Kazinski dispelled the magic animating them	clone	85
<3> unknown fourth member of Taiven's expedition		Murdered by Dungeon monsters after being put to sleep with a spell by a Cyorian aranea	clone	22 to 24
<40+> araneas	Red Robe	Soulkilled with purple light by Red Robe (scores mentioned)	clone	56
<42+> iron beaks	Zach Noveda	Annihilated with flaming missiles by Zach Noveda (flock of 50 mentioned, minus the 8 killed by Taiven)	clone	46
<43,750,000,000+> Altazia inhabitants	Panaxeth	Erased alongside the copied world by Panaxeth (population of at least 50 millions stated by author, 50 millions times 875 previous loops)	clone	-874 to 0
<437,500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned, 500 thousand times 875 previous loops)	clone	-874 to 0
<4> mages	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Crushed with a large chunk of gravel by Quatach-Ichl during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc	clone	93
<4> shifter children	Vatimah Tinc	Chest brutally sliced open as a ritual to free the Primordial by the Cult of the World Dragon, led by Vatimah Tinc	clone	93
<4> soldiers	Red Robe	Struck with lightning by one of Red Robe's Simulacrums		final
<5+> winter wolves	Zorian Kazinski	Blasted with magic missiles by Zorian Kazinski (minimum counted)	clone	83
<50+> normal soldiers	Sudomir Kandrei	Slain by Sudomir Kandrei's undead forces defending Iasku Mansion (count mentioned)	clone	91
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	1
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	102
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	104
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	112
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	113
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	121
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	128
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	2
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	39
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	4
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	46
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	47
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	50
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	56
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	58
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	59
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	60
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	62
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	68
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	69
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	70
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	78
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	79
<500,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned)	clone	83
