character	killed by	death	type	loop
<1> Blood Wraith	Aidan Dar	Slashed with a diagonal sweep by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	57
<1> Blood Wraith	Aidan Dar	Sliced in half by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	57
<1> Blood Wraith	Aidan Dar | Aric Kelltins	Stabbed by Aidan Dar after being hit with an axe by Aric Kelltins (reset by Chronos via the Déjà Vu System)	undone	37
<1> Blood Wraith	Aric Kelltins | Jax of Belenia | Henry	Crushed with an axe by Aric Kelltins while distracted by Jax of Belenia and Henry (reset by Chronos via the Déjà Vu System)	undone	37
<1> Blood Wraith	Aric Kelltins | Waylan	Struck with an axe by Aric Kelltins while held up by Waylan (reset by Chronos via the Déjà Vu System)	undone	37
<1> Blood Wraith	Goren Shein	Obliterated into dust when shot with the Golden Bow by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
<1> Blood Wraith	Goren Shein	Stabbed in the back by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	57
<1> Bloodwretch	Lady Mikaela	Impaled by Lady Mikaela using Shadow Step		
<1> Chronos' previous Champion	Dolos	Fatally wounded by one of Dolos' previous Champions on his orders		
<1> Chronos' previous Champion	Dolos	Slain by one of Dolos' previous Champions on his orders		
<1> Dark Hunter	Aidan Dar	Impaled and pinned to a wall with a glaive by Aidan (reset by Chronos via the Déjà Vu System)	undone	37
<1> Dark Hunter	Aidan Dar	Slashed with a sword by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Dark Hunter	Goren Shein	Slammed to the ground and stabbed in the gut by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	3
<1> Dark Hunter	Lady Mikaela	Cut down by Lady Mikaela (reset by Chronos via the Déjà Vu System)	undone	3
<1> Dark Hunter	Lady Mikaela	Skewered with a spear by Lady Mikaela (reset by Chronos via the Déjà Vu System)	undone	3
<1> Dolos' previous Champion	Chronos	Slain by one of Chronos' previous Champions on his orders		
<1> Grave Mole	Aidan Dar | Goren Shein	Slain by Aidan Dar and Goren Shein (reset by Chronos via the Déjà Vu System)	undone	3
<1> Grave Mole	Right Hand of Darkness | Erebus	Obliterated by the Right Hand of Darkness summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	57
<1> Priestess of Axul	Stephan Lorren	Obliterated to dust with Arcane Burst by Stephan Lorren (reset by Chronos via the Déjà Vu System)	undone	2
<1> Razor Serpent	Aidan Dar	Speared through the eye by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	54
<1> Razor Serpent	Aidan Dar | Goren Shein	Stabbed by Aidan Dar while held down by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	4
<1> Undead Warrior	Aidan Dar	Cut through by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (318 XP gained, each one being worth 318 XP) (reset by Chronos via the Déjà Vu System)	undone	15
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (976 - 216 = 760 XP gained, one Wolf being worth 318 XP and the rest gained through Undead Warriors) (reset by Chronos via the Déjà Vu System)	undone	5
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	16
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Undead Wolf	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	4
<1> Undead Wolf	Aidan Dar	Stabbed in the head by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Undead Wolf	Yana | Aidan Dar	Slashed and burned by Yana and Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	3
<1> Undead Wolf	Yana | Aidan Dar	Slashed and burned by Yana and Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	2
<1> Undead Wolf	Yana | Aidan Dar	Slashed and burned by Yana and Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	3
<1> Void Centipede	Aidan Dar	Body sliced through by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
<1> Void Scorpion	Aidan Dar	Cleaved through with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Head pierced with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Impaled through the head with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Split in two with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Stabbed in the head by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Scorpion	Aidan Dar	Stabbed twice with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<1> Void Spider	Aidan Dar	Sliced through by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	54
<1> healer	Erebus	Bisected by a Grave Mole summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	3
<1> trout	Aidan Dar | Yana	Fished by Aidan Dar and Yana		
<2+> Balthor's family		Died long before he saved his world		
<2+> Razor Serpents	Yana | Tagan	Slain by Yana and Tagan (plural) (reset by Chronos via the Déjà Vu System)	undone	4
<2,000+> Void monsters	Aidan Dar	Slain by Aidan Dar (thousands mentioned) (reset by Chronos via the Déjà Vu System)	undone	65
<2,160+> adventurers	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (100 adventurers, minus 20 named, 80 * 27 loops) (reset by Chronos via the Déjà Vu System)	undone	38 to 64
<2,835+> adventurers	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus during the failed loops of the story (100 adventurers, minus 20 named and Aric Kelltins, 79 * 37 loops, 2923 minus 88 counted deaths) (reset by Chronos via the Déjà Vu System)	undone	1 to 37
<200+> Silverfangs	Spurius Axul	Presumably murdered by the Axuls led by Spurius Axul (count mentioned)		
<20> Undead Warriors	Aidan Dar	Slain by Aidan Dar (680 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	36
<20> Undead Warriors	Aidan Dar	Slain by Aidan Dar (680 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	37
<21,250,000,000+> lives	Erebus	Destroyed alongside their world by Erebus, before Dolos joined him (average population of one world as stated by author, at least 5 worlds since the rate was 5 out of 100 lost)		
<23> Undead Warriors	Aidan Dar	Slain by Aidan Dar (2500 - 1886 = 614, 614 + 168 = 782 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	17
<24+> Blood Wraiths	Aidan Dar | Goren Shein	Cut down by Aidan Dar and Goren Shein (dozens mentioned) (reset by Chronos via the Déjà Vu System)	undone	57
<25,500,000,000+> lives	Erebus	Destroyed alongside their world by Erebus, after Dolos left him (average population of one world as stated by author, at least 6 worlds since the rate got higher than 5 out of 100 lost)		
<27> Grave Moles	Aidan Dar	Slain by Aidan Dar during his first 38 loops (31 mentioned minus the 4 just counted) (reset by Chronos via the Déjà Vu System)	undone	1 to 38
<2> Blood Wraiths	Aidan Dar	Slashed with a glaive by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	57
<2> Blood Wraiths	Aidan Dar	Sliced through with a wind attack by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	57
<2> Blood Wraiths	Goren Shein	Obliterated into dust with a pillar of magic by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
<2> Dark Hunters	Goren Shein	Cut down by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	3
<2> Undead Wolves	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	36
<2> Undead Wolves or Void Scorpions	Aidan Dar	Blown up with Blur Strike by Aidan Dar (318 XP gained) (reset by Chronos via the Déjà Vu System)	undone	37
<2> Void Spiders	Aidan Dar	Blown up with Blur Strike by Aidan Dar (294 XP gained) (reset by Chronos via the Déjà Vu System)	undone	37
<3+> Axul children	Karl Kaelstrife	Murdered by the Silverfangs on orders from Karl Kaelstrife (several mentioned)		
<3+> Axul men	Karl Kaelstrife	Murdered by the Silverfangs on orders from Karl Kaelstrife (several mentioned)		
<3+> Axul monsters	Karl Kaelstrife	Cut down by Karl Kaelstrife (several mentioned)		
<3+> Axul women	Karl Kaelstrife	Murdered by the Silverfangs on orders from Karl Kaelstrife (several mentioned)		
<3+> Axuls	Karl Kaelstrife	Cut down by Karl Kaelstrife (several mentioned)		
<3+> Dark Hunters	Aidan Dar | Goren Shein	Cut through by Aidan Dar and Goren Shein (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	57
<3+> Grave Moles	Aidan Dar	Slain using Blur Strike by Aidan Dar (several mentioned) (reset by Aidan Dar's Checkpoint)	undone	38
<3+> Razor Serpents	Goren Shein	Cut down by Goren Shein (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	4
<3+> Razor Serpents	Goren Shein	Torn through by Goren Shein (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Razor Serpents	Yana	Slain by Yana (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	1
<3+> Razor Serpents	Yana	Slain by Yana (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Silverfangs	Spurius Axul	Slain by the Axuls led by Spurius Axul (several mentioned)		
<3+> Undead	Lady Mikaela	Slain by Lady Mikaela during her first exploration of the Tomb of Gaelith (several mentioned)		
<3+> Undead Archers	Jax of Belenia | Aidan Dar | Lena Lethen | Waylan | Henry | Dina | Goren Shein	Slain by Jax of Belenia's squad (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Undead Warriors	Jax of Belenia	Slain with offensive spells by Jax of Belenia (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Undead Warriors	Jax of Belenia | Aidan Dar | Lena Lethen | Waylan | Henry | Dina | Goren Shein	Slain by Jax of Belenia's squad (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> Undead Warriors	Jax of Belenia | Henry	Slain with magical strikes by Jax of Belenia and Henry (reset by Chronos via the Déjà Vu System)	undone	3
<3+> Void Centipedes	Aidan Dar	Slain using Blur Strike by Aidan Dar (several mentioned) (reset by Aidan Dar's Checkpoint)	undone	38
<3+> Void Spiders	Goren Shein	Shredded through by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	57
<3+> Void Wasps	Gaelith of Tepan	Cut down with a blade by Gaelith of Tepan (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	37
<3+> Void Wasps	Gaelith of Tepan	Obliterated with light by Gaelith of Tepan (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	37
<3+> Void monsters	Aidan Dar	Obliterated with magical arrows by Aidan Dar (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	65
<3+> Void monsters	Right Hand of Darkness | Erebus	Obliterated by the Right Hand of Darkness summoned by Erebus (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	57
<3+> adventurers	Erebus	Murdered by Grave Moles and Void Spiders summoned by Erebus (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> adventurers	Erebus	Murdered in an ambush by Wraiths summoned by Erebus (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	2
<3+> adventurers	Erebus	Slaughtered by Grave Moles and Void Spiders summoned by Erebus (several mentioned) (reset by Aidan Dar's Checkpoint)	undone	3
<3+> adventurers	Goren Shein	Slain by Goren Shein during a previous loop (several mentioned) (reset by Dolos via his System)	undone	-55 to 0
<3+> monsters	Aidan Dar | Goren Shein | Gaelith of Tepan	Slain by Aidan Dar, Goren Shein and Gaelith of Tepan (several mentioned) (reset by Chronos via the Déjà Vu System)	undone	56
<320+> adventurers	Chronos	Erased alongside the world by Chronos (100 adventurers, minus 20 named, 80 * 4 Checkpoints) (reset by Aidan Dar's Checkpoints)	undone	38, 55, 56, 57
<321> Undead Warriors or Undead Archers	Aidan Dar	Slain by Aidan Dar during his first 38 loops (500 mentioned minus the 179 already counted) (reset by Chronos via the Déjà Vu System)	undone	1 to 38
<35> Undead Warriors	Aidan Dar	Slain by Aidan Dar (1190 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	55
<374+> adventurers	Chronos	Erased alongside the world by Chronos (100 adventurers, minus 20 named and Aric Kelltins, 79 * 5 Checkpoints, 395 minus 21 already counted) (reset by Aidan Dar's Checkpoints)	undone	3, 16, 35, 36, 37
<3> Blood Wraiths	Goren Shein	Stabbed with daggers by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	57
<3> Dark Hunters	Aidan Dar	Incinerated with an oil flask and an ember flask by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<3> Priestesses of Axul	Karl Kaelstrife	Throat slit by the Silverfangs on orders from Karl Kaelstrife		
<3> Undead Wolves	Aidan Dar	Incinerated and stabbed by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	16
<3> Undead Wolves	Aidan Dar	Slain by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
<3> Void Spiders	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	36
<3> Void Wasps	Aidan Dar	Blown up with Blur Strike by Aidan Dar (494 XP gained) (reset by Chronos via the Déjà Vu System)	undone	37
<4,250,000,000+> lives		Eventually destroyed each other through wars even after Arabella saved their world from Erebus (average population of one world as stated by author)		
<4,250,000,000+> lives	Erebus	Destroyed alongside their world by Erebus after Dolos joined Chronos (average population of one world as stated by author)		
<4,250,000,000+> lives	Erebus | Dolos	Destroyed alongside their world by Erebus, caused by Dolos' Champion killing Chronos' on orders from Dolos (average population of one world as stated by author)		
<4,421+> adventurers	Erebus	Murdered several times while trapped in the Tomb of Gaelith by Erebus (100 adventurers, minus 20 named and Aric Kelltins, 79 * 56 previous loops, minus 3 Goren kills) (reset by Dolos via his System)	undone	-55 to 0
<460> Void Spiders	Aidan Dar	Slain by Aidan Dar during his first 55 loops (501 mentioned, minus the 41 already counted) (reset by Chronos via the Déjà Vu System)	undone	1 to 55
<48+> adventurers	Gaelith of Tepan	Slain by Gaelith of Tepan (dozens upon dozens mentioned) (reset by Chronos via the Déjà Vu System)	undone	36
<4> Blood Wraiths	Goren Shein	Cut down by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
<4> Grave Moles	Aidan Dar	Shredded with a wind attack by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
<4> Grave Moles	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	38
<4> Undead Warriors or Undead Archers	Aidan Dar	Blown up with Blur Strike by Aidan Dar (34 XP gained) (reset by Chronos via the Déjà Vu System)	undone	37
<4> Void Scorpions	Aidan Dar	Cut through their carapaces with a blade by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<4> Void Spiders	Aidan Dar | Gaelith of Tepan	Slain by Aidan Dar and Gaelith of Tepan (5236 - 2470(494*5) = 2766, 2766 - 1590(318*5) = 1176 XP gained, each one being worth 294 XP) (reset by Chronos via the Déjà Vu System)	undone	37
<50,400,000,000+> Tepan Kingdom inhabitants	Erebus	Destroyed alongside their world by Erebus (population of around 900 millions, per loop, so 900 millions * 56 loops) (reset by Chronos via the Déjà Vu System)	undone	-55 to 0
<50> Undead Warriors	Aidan Dar	Slain by Aidan Dar (1700 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	56
<57,600,000,000+> Tepan Kingdom inhabitants	Erebus	Destroyed alongside their world by Erebus (population of around 900 millions, per loop, so 900 millions * 64 loops) (reset by Chronos via the Déjà Vu System)	undone	1 to 64
<5> Undead Warriors	Aidan Dar	Slain by Aidan Dar (170 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	4
<5> Undead Wolves	Aidan Dar	Dispatched with precises strikes by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
<5> Undead Wolves	Aidan Dar	Finished off with Blade Rush by Aidan Dar (reset by Aidan Dar's Checkpoint)	undone	38
<5> Void Scorpions	Aidan Dar | Gaelith of Tepan	Slain by Aidan Dar and Gaelith of Tepan (5236 - 2470(494*5) = 2766, 2766 - 1176(294*4) = 1590 XP gained, each one being worth 318 XP) (reset by Chronos via the Déjà Vu System)	undone	37
<5> Void Wasps	Aidan Dar	Bodies broken with a wind attack by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	37
<5> Void Wasps	Aidan Dar | Gaelith of Tepan	Slain by Aidan Dar and Gaelith of Tepan (reset by Chronos via the Déjà Vu System)	undone	37
<65> Priestesses of Axul	Aidan Dar	Put down by Aidan Dar on their own request		55
<65> Priestesses of Axul	Lysandra	Turned into the Razor Basilisk by Lysandra	undead	
<6> Void Spiders	Aidan Dar	Incinerated with an oil flask by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	5
<7> Undead Warriors	Aidan Dar	Slain by Aidan Dar (238 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	15
<8,100,000,000+> Tepan Kingdom inhabitants	Chronos	Erased alongside their world by Chronos (population of around 900 millions, per Checkpoint, so 900 millions * 9 Checkpoints) (reset by Aidan Dar's Checkpoint)	undone	3, 16, 35, 36, 37, 38, 55, 56, 57
<8> Undead Warriors	Aidan Dar	Slain by Aidan Dar (384 - 112 = 272 XP gained, each one being worth 34 XP) (reset by Chronos via the Déjà Vu System)	undone	4
<8> Undead Warriors	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	3
<90> Undead Wolves	Aidan Dar	Slain by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	35
<98> Razor Serpents	Aidan Dar	Slain by Aidan Dar during his first 54 loops (100 mentioned, minus the 2 already counted) (reset by Chronos via the Déjà Vu System)	undone	1 to 54
Aidan Dar	Aidan Dar	Slit his own throat (reset by Chronos via the Déjà Vu System)	undone	63
Aidan Dar	Aidan Dar	Stabbed himself in the throat (reset by Chronos via the Déjà Vu System)	undone	37
Aidan Dar	Aidan Dar | High Priestess of Axul | Erebus	Let himself be struck with a giant claw through a portal by the High Priestess of Axul summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	38
Aidan Dar	Arachnid Mother | Erebus	Head bitten off by the Arachnid Mother summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	5
Aidan Dar	Arachnid Mother | Erebus	Slammed with her legs by the Arachnid Mother summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	36
Aidan Dar	Chronos | Aidan Dar	Murdered by Chronos on his own request (reset by Chronos via the Déjà Vu System)	undone	65
Aidan Dar	Dark Undead General Kaelstrife | Erebus	Incinerated with dark flames by Dark Undead General Kaelstrife, reanimated by Erebus (reset by Chronos via the Déjà Vu System)	undone	15
Aidan Dar	Erebus	Ensnared in a web by a Void Spider and clawed by a Grave Mole summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	3
Aidan Dar	Erebus	Impaled through the chest by a Grave Mole summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	3
Aidan Dar	Erebus	Murdered by one of Erebus' monsters (reset by Chronos via the Déjà Vu System)	undone	4
Aidan Dar	Erebus	Neck bitten while mauled by Undead Wolves summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	16
Aidan Dar	Erebus	Ripped to shreds by Void Centipedes summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	54
Aidan Dar	Erebus	Ripped to shreds by an explosion caused by Boomspite Lichlings summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	37
Aidan Dar	Erebus	Torn to pieces by Void Centipedes and Grave Moles summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	38
Aidan Dar	Erebus | Dolos	Bled out after being impaled with tendrils by Erebus and having the Millennium Prison explode in his hands due to Dolos' tempering (reset by Chronos via the Déjà Vu System)	undone	57
Aidan Dar	Gaelith of Tepan	Obliterated with light by Gaelith of Tepan (reset by Chronos via the Déjà Vu System)	undone	36
Aidan Dar	Gaelith of Tepan | Aidan Dar	Impaled through the chest with a sword by Gaelith of Tepan on his own request (reset by Aidan Dar's Checkpoint)	undone	56
Aidan Dar	Gaelith's Darkness | Erebus | Gaelith Alloraine	Impaled with one of its appendages by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	1
Aidan Dar	Gaelith's Darkness | Erebus | Gaelith Alloraine	Impaled with one of its appendages by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	2
Aidan Dar	Goren Shein	Neck broken by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	6
Aidan Dar	Goren Shein	Stabbed in the head with a thrown dagger by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	14
Aidan Dar	Goren Shein | Aidan Dar	Murdered by Goren Shein on his own request (reset by Chronos via the Déjà Vu System)	undone	56
Aidan Dar	Goren Shein | Aidan Dar	Stabbed in the chest by Goren Shein on his own request (reset by Aidan Dar's Checkpoint)	undone	57
Aidan Dar	Goren Shein | Aidan Dar	Stabbed through the heart with a dagger by Goren Shein on his own request (reset by Aidan Dar's Checkpoint)	undone	55
Aidan Dar	High Priestess of Axul	Frozen and shattered into icicles by the High Priestess of Axul (reset by Chronos via the Déjà Vu System)	undone	55
Aidan Dar	High Priestess of Axul | Erebus	Frozen by the High Priestess of Axul summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	16
Aidan Dar	Pack Leader | Erebus	Mauled by the Pack Leader summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	35
Aidan Dar	Pack Leader | Erebus	Mauled by the Pack Leader summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	35
Aidan Dar	Right Hand of Darkness | Erebus	Cleaved in half by the Right Hand of Darkness summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	64
Alfred Jones	Goren Shein	Murdered by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
Alisia	Lysandra	Frozen and shattered into icicles by Lysandra		
Arabella Smith	Arabella Smith | Erebus	Blew herself up in order to defeat Erebus		
Arachnid Mother	Aidan Dar	Slain by Aidan Dar at some point during loops 39 to 54		39 to 54
Aric Kelltins	Gaelith's Darkness | Erebus | Gaelith Alloraine	Pierced through the chest and devoured by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	37
Aric Kelltins' father		Died from unknown causes		
Aric Kelltins' mother		Died from unknown causes		
Avos	Lysandra	Pushed down into the Void by Lysandra		
Avos' partner	Aidan Dar	Eventually purged alongside Erebus by Aidan Dar		66
Avos' partner	Lysandra	Turned into an undead by Lysandra	undead	
Bernard	Gaelith's Darkness | Erebus | Gaelith Alloraine	Murdered by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	1
Bernard	Gaelith's Darkness | Erebus | Gaelith Alloraine	Murdered by Gaelith's Darkness, host of Erebus, created by Gaelith Alloraine (reset by Chronos via the Déjà Vu System)	undone	2
Bernard	Goren Shein	Beheaded with a sword by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	6
Boomspite Goblin	Aidan Dar	Slain by Aidan Dar at some point during loops 39 to 54		39 to 54
Celeste		Died from unknown causes		
Christian Renner's father		Died from unknown causes		
Daniels	Spurius Axul	Presumably murdered by the Axuls led by Spurius Axul		
Dina	Aric Kelltins	Murdered by Aric Kelltins (reset by Chronos via the Déjà Vu System)	undone	37
Dina	Erebus	Leg severed clean off and dragged into the ground by a Grave Mole summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	3
Diona's father	Lysandra	Pushed down into the Void by Lysandra		
Diona, Priestess of Axul	Erebus	Bled out from a stomach wound inflicted by a Void Centipede summoned by Erebus (reset by Aidan Dar's Checkpoint)	undone	38
Edmund III		Died from unknown causes		
Erebus	Aidan Dar	Sliced and stabbed in the head with a sword by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	65
Erebus	Aidan Dar | Erebus | Chronos	Disappeared after letting himself be absorbed via the Millennium Prison by Aidan Dar on orders from Chronos (remains alive as an immortal god)	revived	66
Evangelina Volker	Goren Shein	Murdered by Goren Shein (reset by Chronos via the Déjà Vu System)	undone	36
Fiona	Aidan Dar | Erebus	Caught in a shockwave caused by Aidan Dar and Erebus' fight (reset by Chronos via the Déjà Vu System)	undone	65
Fiona	High Priestess of Axul | Erebus	Struck with a giant claw through a portal by the High Priestess of Axul summoned by Erebus (reset by Chronos via the Déjà Vu System)	undone	38
First Noctyra's mother	Lysandra	Murdered by Lysandra		
Gaelith of Tepan	Aidan Dar	Sliced and stabbed in the head with a sword by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	65
Gaelith's Darkness	Aidan Dar	Eventually purged alongside Erebus by Aidan Dar		66
Gaelith's Darkness	Aidan Dar	Sliced and stabbed in the head with a sword by Aidan Dar (reset by Chronos via the Déjà Vu System)	undone	65
Goren Shein	Aidan Dar | Themis | Chronos | Dolos | Goren Shein	Stabbed in the chest by Aidan Dar during a duel overseen by Themis and set up by Chronos and Dolos, orchestrated by himself (revived as his assistant by Chronos)	revived	64
Goren Shein	Aric Kelltins	Slain by Aric Kelltins and trapped in chains for the next loop (reset by Chronos via the Déjà Vu System)	undone	36
Goren Shein	Erebus	Murdered by one of Erebus' monsters (reset by Chronos via the Déjà Vu System)	undone	4
Goren Shein	Goren Shein | Aidan Dar	Impaled himself on Aidan Dar's sword (reset by Goren Shein's Temporal Override)	undone	37
