universe	character
Danganronpa	Orvin Elevator / Kazuya Togami
Danganronpa	Rei Naruko / Gray
Danganronpa	Sachi Mizuiyama / Black Cape
Danganronpa	Taeko Kanai / Cattle Slayer
Danganronpa	Toko Fukawa / Genocide Jack
Dark Souls	Aldrich, Devourer of Gods / Aldrich, Saint of the Deep
Dark Souls	Anastacia of Astora / The Ash Maiden
Dark Souls	Blue-eyed Durgo / Greatbow Phantom
Dark Souls	Creighton the Wanderer / Creighton of Mirrah
Dark Souls	Crystal Knight / Crystal General
Dark Souls	Daughter of Chaos / Izalith's Daughter
Dark Souls	Dragonslayer Armour / Iron Dragonslayer
Dark Souls	Fume Knight / Raime the Traitor / Rebel Raime
Dark Souls	Gravelord Nito / Nito, the First of the Dead
Dark Souls	Gwyn, Lord of Cinder / Gwyn, Lord of Sunlight
Dark Souls	Iudex Gundyr / Champion Gundyr / Belated Champion
Dark Souls	Kirk, Knight of Thorns / Longfinger Kirk
Dark Souls	Knight Artorias / Artorias the Abysswalker
Dark Souls	Knight Lautrec of Carim / Lautrec the Embraced / Lautrec the Guilty
Dark Souls	Sir Fabian / Fabian, Knight of Eleum Loyce
Dark Souls	Unbreakable Patches / Amnesiac Lapp
Deadman Wonderland	Azuma Genkaku / Uber Monk
Deadman Wonderland	Ganta Igarashi / Woodpecker
Deadman Wonderland	Kiyomasa Senji / Crow
Deadman Wonderland	Minatsuki Takami / Hummingbird
Deadman Wonderland	Nagi Kengamine / Owl
Deadman Wonderland	Rinichirō Hagire / The Director
Deadman Wonderland	Shiro / Wretched Egg
Deadman Wonderland	Toto Sakigami / Mockingbird
Déjà Vu	Aidan Dar / Spellsword
Déjà Vu	Aric Kelltins / Second Noctyra / Noctyra, the Last Axul / Dark Axul
Déjà Vu	Chronos / Lord of Time / Keeper of Eternities / Watchful Eye / Ageless Wisdom
Déjà Vu	Diona / Diona, Priestess of Axul
Déjà Vu	Dolos / Embodiment of Deception / God of Lies and Deception / Spurius Axul
Déjà Vu	Erebus / Embodiment of Darkness / Destroyer
Déjà Vu	Gaelith Alloraine / Aureon / Gaelith of Tepan / Crown's Champion / First Knight of the Kingdom / Blade of Honor / First Noctyra
Déjà Vu	Karl Kaelstrife / Undead General Kaelstrife / Dark Undead General Kaelstrife / Mad General / Unyielding / Silverfang
Déjà Vu	Lysandra / Lysandra Axul / High Priestess of Axul
Déjà Vu	Rohanus Kane / Spurius Axul (Original)
Déjà Vu	Thanata / Goddess of Death
Déjà Vu	Themis / God of Justice / Eternal Arbiter of Divine Disputes / Keeper of Sacred Balance / One Who Upholds the Pacts of Gods
Déjà Vu	Urthran / Embodiment of Chaos
Dragon's Dogma	Ashe / Daimon
Dragon's Dogma	Grigori / The Dragon
Dragon's Dogma	Savan / The Seneschal
Elden Ring	Ancient Dragon Florissax / Dragon Communion Priestess
Elden Ring	Bloodhound Knight Floh / Rabid Stray
Elden Ring	Boc the Seamster / Demi-Human Boc
Elden Ring	Brother Corhyn / Scribe Corhyn
Elden Ring	Castellan Edgar / Edgar the Revenger
Elden Ring	Castellan Jerren / Witch-Hunter Jerren
Elden Ring	Commander Gaius / The Wild Boar Rider
Elden Ring	Count Ymir, High Priest / Ymir, Mother of Fingers
Elden Ring	D, Beholder of Death / Devin
Elden Ring	D, Hunter of the Dead / Darian
Elden Ring	Decaying Ekzykes / Dragon Communion Revenger
Elden Ring	Elemer of the Briar / Bell Bearing Hunter
Elden Ring	Ensha / Soulless King
Elden Ring	Fire Knight Salza / Salza the Sage
Elden Ring	Fire Knight Wego / Elder Wego
Elden Ring	Godfrey, First Elden Lord / Hoarah Loux, Warrior / Lord of the Battlefield
Elden Ring	Godrick the Grafted / Godrick the Golden
Elden Ring	Godwyn the Golden / Prince of Gold / Prince of Death / First of the Dead
Elden Ring	Inaba, Disciple of Okina / White Reeds
Elden Ring	Knight Diallos / Diallos Hoslow
Elden Ring	Knight of the Solitary Gaol / Blackgaol Knight
Elden Ring	Loretta, Knight of the Haligtree / Royal Knight Loretta
Elden Ring	Malenia, Blade of Miquella / Malenia, Goddess of Rot
Elden Ring	Maliketh, the Black Blade / Gurranq, Beast Clergyman / Death of the Demigods
Elden Ring	Melina / Kindling Maiden
Elden Ring	Messmer the Impaler / Base Serpent Messmer
Elden Ring	Midra, Lord of Frenzied Flame / Sage Midra
Elden Ring	Miquella the Kind / Miquella of the Haligtree / Empyrean Miquella / The Unalloyed
Elden Ring	Mohg, Lord of Blood / Mohg, the Omen / Luminary Mohg
Elden Ring	Morgott, the Omen King / Margit, the Fell Omen / Morgott the Grace-Given / The Veiled Monarch / Lord of Leyndell
Elden Ring	Radagon of the Golden Order / Queen Marika the Eternal
Elden Ring	Ranni the Witch / Lunar Princess Ranni / Renna the Witch
Elden Ring	Rennala, Queen of the Full Moon / Full Moon Witch / Lunar Queen / Queen of Caria
Elden Ring	Rya the Scout / Zorayas the Scout
Elden Ring	Rykard, Lord of Blasphemy / Praetor Rykard / The Serpent King
Elden Ring	Scadutree Avatar / Shadow Sunflower
Elden Ring	Serosh, the Beast Regent / The Golden Lion
Elden Ring	Sir Ansbach / Pureblood Knight Ansbach
Elden Ring	Sorcerer Thops / Thops the Bluntstone
Elden Ring	Starscourge Radahn / General Radahn / Red Lion General / Promised Consort Radahn / Radahn, Consort of Miquella
Elden Ring	Three Fingers / Readerless Fingers
Elden Ring	Vyke the Dragonspear / Roundtable Knight Vyke / Festering Fingerprint Vyke
Elden Ring	War Counselor Iji / Smithing Master Iji
Final Fantasy	Galenth Dysley / Barthandelus
Final Fantasy	Lightning / Claire Farron
Gantz	Shinsuke Nishikawa / Kinji Nishikawa
Hollow Knight	Broken Vessel / Lost Kin
Hollow Knight	Crystal Guardian / Enraged Guardian
Hollow Knight	False Knight / Failed Champion
Hollow Knight	Garmond / Lost Garmond
Hollow Knight	Hollow Knight / Pure Vessel
Hollow Knight	Pilby / Little Pilgrim
Hollow Knight	Soul Master / Soul Tyrant
Hollow Knight	The Knight / Lord of Shades
Hollow Knight	The Pale King / The Pale Wyrm
Hollow Knight	The Radiance / Absolute Radiance
Hollow Knight	Troupe Master Grimm / Nightmare King Grimm
Hollow Knight	Void Entity / God of Gods
Hollow Knight	Zango / Plasmified Zango
Hollow Knight	Ze'mer / The Grey Mourner
Hollow Knight	Zote the Mighty / Grey Prince Zote
Hunter × Hunter	Illumi Zoldyck / Gittarackur
Hunter × Hunter	Leol / Hagya
Hunter × Hunter	Welfin / Zaiqahal
Infamous	Henry Daughtry / Hank Daughtry
Infamous	John White / The Beast
Jojo's Bizarre Adventure	Diavolo / Boss / Solido Naso
Jojo's Bizarre Adventure	Elizabeth Joestar / Lisa Lisa
Jojo's Bizarre Adventure	Giorno Giovanna / Haruno Shiobana
Jujutsu Kaisen	Sukuna / Ryomen Sukuna
Just Cause	Diego Marquez Espinosa / Diego el Santo / Diego de Málaga
Kingdom Hearts	Ansem the Wise / DiZ
Kingdom Hearts	Eugene Fitzherbert / Flynn Rider
Kingdom Hearts	Fa Mulan / Ping
Kingdom Hearts	Prince / Beast
Kingdom Hearts	Riku Replica / Dark Riku
Kingdom Hearts	Stitch / Experiment 626
Kingdom Hearts	Xehanort / Young Xehanort
Little Nightmares	Roger / The Janitor
Little Nightmares	The Runaway Kid / The Kid
Lords of the Fallen	Iselle / Judge Cleric, the Radiant Sentinel
Lords of the Fallen	King Bramis XVII / The Sundered Monarch
Lords of the Fallen	Pieta, She of Blessed Renewal / Elianne the Starved
Lords of the Fallen	Queen Sophesia of Mournstead / Tortured Prisoner
Lords of the Fallen	Rapturous Huntress Lirenne / Rapturous Huntress of the Dusk
Lords of the Fallen	Saint Latimer of the Hallowed Sentinels / The Hushed Saint
Lords of the Fallen	The Lampbearer / The Deathless One
Lords of the Fallen	Yorke, Leader of Kinrangr / The Hollow Crow
Mobile Suit Gundam	Gaelio Bauduin / Vidar
Mobile Suit Gundam	McGillis Fareed / Montag
Mobile Suit Gundam	Mikazuki Augus / The Devil of Tekkadan
Monster Hunter	Aiden / Ace Cadet / Excitable A-Lister
Monster Hunter	Fabius / Ace Lancer
Monster Hunter	Gemma / Little Miss Forge
Monster Hunter	Hunter (MHWI) / The Sapphire Star / The White Wind
Monster Hunter	Julius / Ace Commander
Monster Hunter	Lea / Serious Handler
Monster Hunter	Nadia / Ace Gunner
Monster Hunter	Sophia / Guildmarm
Mother of Learning	Jornak Dokochin / Red Robe
Mother of Learning	Neoluma-Manu Iljatir / Neolu
Mother of Learning	Oganj / Terror of the North
Mother of Learning	Panaxeth / He of the Flowing Flesh
Mother of Learning	Quatach-Ichl / Saruwata Merenptah
Mother of Learning	Violeteye / Violet-Eyed Disaster / Covetous One / Typhoon
Nasuverse	Amakusa Shirou Tokisada / Shirou Kotomine
Nasuverse	Cú Chulainn / Sétanta
Nasuverse	Henry Jekyll / Edward Hyde
Nasuverse	Lev Lainur Flauros / Professor Lev
Nasuverse	Lü Bu / Lü Bu Fengxian
Nasuverse	Medusa / Gorgon
Nasuverse	Nero Claudius / Nero Claudius Caesar Augustus Germanicus
Nasuverse	Sakura Matou / Sakura Tohsaka
Nasuverse	Zouken Matou / Makiri Zolgen / Zouken Makiri
Ozark	Gary Silverberg / Sugarwood
Ozark	Javier Elizonndro / Javi Emilio Navarro
Ozark	Martin Byrde / Marty Byrde
Ozark	Wendy Marie Byrde / Wendy Davis
Project Moon	Argalia / Uberto / The Blue Reverberation
Project Moon	Ayin / X / The Manager
Project Moon	Benjamin / Hokma
Project Moon	Bremen / The Musicians of Bremen
Project Moon	Curiambro / The Priest
Project Moon	Daniel / Chesed
Project Moon	Don Quixote / Sancho
Project Moon	Dongrang / Dongrang, Who Denies All
Project Moon	Eileen / The Church of Gears Leader
Project Moon	Elena / The Blood-red Night
Project Moon	Elijah / Malkuth
Project Moon	Enoch / Tiphereth B
Project Moon	Gabriel / Yesod
Project Moon	Garion / Binah
Project Moon	Giovanni / Netzach
Project Moon	Golden Apple / False Apple
Project Moon	Greta / The Eighth Chef
Project Moon	Guido / Guido the Persistent
Project Moon	Heathcliff / Heathcliff, The Heartbroken
Project Moon	Hindley Earnshaw / Hindley, The Reaved Lamenter
Project Moon	Hindley of the Wild Hunt / The Reaved Lamenter of the Wild Hunt
Project Moon	Hong Lu / Jia Baoyu
Project Moon	Iori / The Purple Tear
Project Moon	Jae-heon / The Puppeteer
Project Moon	Kali / Gebura / The Red Mist
Project Moon	Kong Qiu / Jia Qiu
Project Moon	Kromer / Kromer the Dreamer of Human Wholeness
Project Moon	Lei Heng / Chachihu / Tiantui Star, the Winged Tiger
Project Moon	Lisa / Tiphereth
Project Moon	Michelle / Hod
Project Moon	Nicolina / The Barber
Project Moon	Niko / Rosespanner Workshop Rep Niko
Project Moon	Philip / The Crying Children
Project Moon	Pluto / Yesterday's Promise
Project Moon	Rodion / Rodya
Project Moon	Roland / The Black Silence
Project Moon	Ryōshū / Yoshihide
Project Moon	Shi Miyin / Jia Mu
Project Moon	Tanya / L'Heure du Loup
Project Moon	The Pallid Whale / The All-Consuming Pallid Whale
Project Moon	Yan Vismok / 얀샋ㄷ요무
Re Zero	Aro / Soyone Aro Juukulius
Re Zero	Capella Emerada Lugunica / Mother
Re Zero	Felix Argyle / Ferris
Re Zero	Ia / Lumera Ia Juukulius
Re Zero	Iku / Dorena Iku Juukulius
Re Zero	In / Kiara In Juukulius
Re Zero	Kua / Lapicha Kua Juukulius
Re Zero	Natsuki Subaru / Natsumi Schwartz / Purge King
Re Zero	Nes / Sinica Nes Juukulius
Re Zero	Priscilla Barielle / Prisca Benedict / Priscilla Pendleton
Re Zero	Roswaal L. Mathers / Roswaal A. Mathers / Roswaal J. Mathers / Roswaal K. Mathers
Re Zero	Valga Cromwell / Old Man Rom
Re Zero	Vincent Vollachia / Abel / Vincent Abellux
Re Zero	Wilhelm van Astrea / Wilhelm Trias
Science Adventure	Yuugo Tennouji / Ferdinand Braun / FB
Slay the Princess	The Hero / The Long Quiet / The Dragon
Slay the Princess	The Princess / The Shifting Mound / The Adversary / The Tower / The Spectre / The Nightmare / The Razor / The Beast / The Witch / The Stranger / The Prisoner / The Damsel / The Eye of the Needle / The Fury / The Apotheosis / The Wraith / The Moment of Clarity / The Den / The Wild / The Thorn / The Cage / The Grey
Staffer Series	Douglas Touchstone / Doug
Staffer Series	Jason Ludlum / Lieutenant
Staffer Series	Pandoria Redfins / Investigator
Staffer Series	Pim Bert / Chief
Star Wars	Anakin Skywalker / Darth Vader
Star Wars	Dooku / Darth Tyranus
Star Wars	Qymaen jai Sheelal / Grievous
Star Wars	Sheev Palpatine / Darth Sidious / The Emperor
Star Wars	Trilla Suduri / Second Sister
The Evil Within	Ruben Victoriano / Ruvik
The Golden Idol	David Gorran / Ash Blair
The Golden Idol	Edmund Cloudsley / Lazarus Herst
The Golden Idol	Heco Sift / Echo Secunda / Mr. Black
The Golden Idol	Jack Nowak / Hunter Wolf
The Golden Idol	Oberon Geller / The Spider of Lanka
The Golden Idol	Tesa Nevari / Lizzie Young
The Perfect Run	Adam Fontaine / Adam the Ogre / Case-USA-3682
The Perfect Run	Alice Martel / Pythia
The Perfect Run	Alphonse Manada / Fallout
The Perfect Run	Andrea Julani-Veran / Venus
The Perfect Run	Andreas Torque / Bacchus
The Perfect Run	Bianca / Sarin
The Perfect Run	Cruella Augusti / Pluto
The Perfect Run	Enrique Manada / Blackthorn
The Perfect Run	Eva Fabre / Alchemist
The Perfect Run	Felix Veran / Atom Cat / Apollo
The Perfect Run	Fortuna Veran / Diana
The Perfect Run	Francis Grey / Psyshock
The Perfect Run	François / Geist
The Perfect Run	Freddie Sabino / Bloodstream
The Perfect Run	Greta / Cancel
The Perfect Run	Helen / Acid Rain
The Perfect Run	Hyun Ki-jung / Chitter
The Perfect Run	Jamie Cutter / Zanbato
The Perfect Run	Janus Augusti / Augustus
The Perfect Run	Jasmine Sharif / Vulcan
The Perfect Run	Jerome / Mongrel
The Perfect Run	Karen Ricci / Vamp
The Perfect Run	Lanka / Sphere
The Perfect Run	Laura / Wyvern
The Perfect Run	Len Sabino / Underdiver / Shortie
The Perfect Run	Leonard Hargraves / Living Sun / Sunshine
The Perfect Run	Livia Augusti / Minerva / Queen Crimson
The Perfect Run	Luca Veran / Mars
The Perfect Run	Luigi / Crypto
The Perfect Run	Marco / Mercury
The Perfect Run	Mathias Martel / Shroud
The Perfect Run	Mechron / Case-BiH-006
The Perfect Run	Narcinia Veran / Giulia Costa / Ceres
The Perfect Run	Nash / Sparrow
The Perfect Run	Nora Moore / Architect
The Perfect Run	Richard Pinkman / Night Terror
The Perfect Run	Ryan Romano / Quicksave / Riri / Clockstopper
The Perfect Run	Silvio Augusti / Neptune
The Perfect Run	Tea / Doll
The Perfect Run	Timmy / Panda
The Perfect Run	Vladimir Khabarov / Frank / Frank the Mad
The Perfect Run	Yukiko / Wardrobe
The World Ends with You	Daisukenojo Bito / Beat
The World Ends with You	Kaichi Susuki / Susukichi
The World Ends with You	Raimu Bito / Rhyme
The World Ends with You	Tosai Furesawa / Fret
The World Ends with You	Yoshiya Kiryu / Joshua
Tokyo Ghoul	Arata Kirishima / Corpse Collector
Tokyo Ghoul	Asaki Fueguchi / Number 696
Tokyo Ghoul	Ayato Kirishima / Black Rabbit
Tokyo Ghoul	Bin brothers / Tail brothers
Tokyo Ghoul	Donato Porpora / Priest / Crown
Tokyo Ghoul	Enji Koma / Devil Ape
Tokyo Ghoul	Eto Yoshimura / One-Eyed Owl / Sen Takatsuki / Taxidermied Owl
Tokyo Ghoul	Hajime Hazuki / Kou
Tokyo Ghoul	Hideyoshi Nagachika / Scarecrow
Tokyo Ghoul	Hikari Kirishima / Hikari Yomo
Tokyo Ghoul	Juuzou Suzuya / Rei Suzuya
Tokyo Ghoul	Karao Saeki / Torso
Tokyo Ghoul	Karren von Rosewald / Kanae / Rose
Tokyo Ghoul	Kaya Irimi / Black Dog
Tokyo Ghoul	Ken Kaneki / Centipede / Haise Sasaki / Black Reaper / One-Eyed King
Tokyo Ghoul	Kichimura Washuu / Souta Washuu-Furuta / Nimura Furuta / PG / Washuu King
Tokyo Ghoul	Kie Muramatsu / Applehead
Tokyo Ghoul	Kishou Arima / CCG's Reaper / White Reaper
Tokyo Ghoul	Kurona Yasuhisa / Kuro / Floppy
Tokyo Ghoul	Matasaka Kamishiro / Orca / Shachi
Tokyo Ghoul	Mayu / Nutcracker
Tokyo Ghoul	Miza Kusakari / Three Blades
Tokyo Ghoul	Nashiro Yasuhisa / Shiro
Tokyo Ghoul	Nishiki Nishio / Serpent
Tokyo Ghoul	Noro / Noroi
Tokyo Ghoul	Rize Kamishiro / Binge Eater
Tokyo Ghoul	Roma Hoito / Gypsy / Dodgy Mother
Tokyo Ghoul	Ryouko Fueguchi / Number 73
Tokyo Ghoul	Seidou Takizawa / Owl
Tokyo Ghoul	Shikorae / Rio
Tokyo Ghoul	Shuu Tsukiyama / Gourmet / MM
Tokyo Ghoul	Tooru Mutsuki / Eyepatch
Tokyo Ghoul	Touka Kirishima / Rabbit / Touka Kaneki
Tokyo Ghoul	Tsuneyoshi Washuu / Demon Tsune
Tokyo Ghoul	Uruka Minami / Lantern
Tokyo Ghoul	Yakumo Oomori / Yamori / 13th Ward's Jason
Tokyo Ghoul	Yoshimura / Kuzen / Non-Killing Owl
Tokyo Ghoul	Yoshitoki Washuu / Chika Washuu
Tomb Raider	Angus Grimaldi / Grim
Watch Dogs	Aiden Pearce / The Vigilante / The Fox
Watch Dogs	Albert / Guardian Protocol AI
Watch Dogs	Clara Lille / BadBoy17
Watch Dogs	Delford Wade / Iraq
Watch Dogs	Dermot Quinn / Lucky Quinn
Watch Dogs	Edgar Noone / Fingerpaint Killer
Watch Dogs	Gary Diggs / Rabbit
Watch Dogs	JB Markowicz / Defalt
Watch Dogs	Marcus Holloway / Retr0
Watch Dogs	Pablo Cortés / The Skinner
Watch Dogs	Raymond Eugene Kenney / T-Bone Grady
Watch Dogs	Tyrone Hayes / Bedbug
Zero Escape	Akane Kurashiki / Zero / June / Old Woman
Zero Escape	Aoi Kurashiki / Santa
Zero Escape	Delta / Brother / Q / Zero II
Zero Escape	G-OLM / GTM-CM-G-OLM
Zero Escape	Gentarou Hongou / Ace
Zero Escape	Hazuki Kashiwabara / Lotus
Zero Escape	Kagechika Musashidou / Cap
Zero Escape	Kyle Klim / K
Zero Escape	Lagomorph / Zero III
Zero Escape	Light Field / Snake
Zero Escape	Luna / GTF-DM-L-016
Zero Escape	Mira / Heart Ripper
Zero Escape	Nagisa Nijisaki / Guy X
Zero Escape	Sigma Klim / Zero Senior
Zero Escape	Teruaki Kubota / 9th Man
