character	killed by	death	type	loop
Buzzkill	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Byrn Ivarin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Carabiera Aope	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Chassanah	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Cikan Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Circle of Fortune and Golden Dust	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Daimen Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Edwin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Elayer Inid	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Elsie	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Enthusiastic Seeker of Novelty	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Estin Grier	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Fang of Victory	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Fortov Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Frozen Thoughts Spanning Across Bottomless Chasms	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Ghost	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Ghost Serpent	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Glittering River of Stars	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Goliri Ardat	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Gurey Cwili	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Hammerer	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Haslush Ikzeteri	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Ibak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Ibery Ambercomb	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Ilinim Kam	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Ilsa Zileti	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Imaya Kuroshka	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Iroro	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Jade Witelsin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Jornak Dokochin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kael Tverinov	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kalan	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kana Tverinov	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kiana	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kilnfather	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kirielle Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kirithishli Korisova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kirma	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kopriva Reid	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Krantin Keklos	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kylae Kuosi	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Kyron	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Lukav Teklo	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Marvelous Geode	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Maya	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Memory of Sublime Glories	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Mind Like Fire	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Naim	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Neoluma-Manu Iljatir	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Night Dream	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Nirthak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Nochka Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Nora 	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Oganj	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Oran Skarna	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Orinus	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Orissa Siqi Taramatula	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Princess	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Quatach-Ichl	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Raynie	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Rea Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Refuge in Void	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Sauh Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Seeker of the Eight Universal Paths	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
She Who Eats Fire and Sees Gold	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Silver One	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Silverlake	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Spear of Resolve Striking Straight at the Heart of the Matter	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Stonechild	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Storm Dream	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Sudomir Kandrei	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Taiven	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Tesen Zveri	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Tinami Aope	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Torun	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Ulanna Taramatula	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Urik Kreshna	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Vani	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Vatimah Tinc	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Vazen	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Veil	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Veyers Boranova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Violeteye	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Voice of Peace	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Watchful Eyes That Miss Nothing of Importance	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Xvim Chao	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Zenomir Olgai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1
Zoltan House Heir	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	The Fourth Looper - 1


Zorian Kazinski	Zorian Kazinski	Simulacrum sent to Koth and eventually dispelled by the original	clone | non-canon	Abyss of Time - 12
{2} Zorian Kazinski	Zorian Kazinski	Simulacrums created to heal Zach and eventually dispelled by the original	clone | non-canon	Abyss of Time - 12
Zach Noveda	Panaxeth | Zorian Kazinski | Zach Noveda	Erased alongside the copied world by Panaxeth after Zorian removed his Marker on his own request	clone | non-canon	Abyss of Time - 1 to 12
{12+} Akoja Stroze	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Alachi Gotrum	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Alanic Zosk	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Andir Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Andoril Boranova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Aneka Ashirai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Anixa Pravoski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Aread	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Armie Ashirai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Azlyn Marivoski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Batak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Benisek	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Briam	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Bridge of Moonlight Connecting Ten Thousand Shores	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Buzzkill	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Byrn Ivarin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Carabiera Aope	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Chassanah	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Cikan Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Circle of Fortune and Golden Dust	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Daimen Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Edwin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Elayer Inid	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Elsie	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Enthusiastic Seeker of Novelty	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Estin Grier	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Fang of Victory	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Fortov Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Frozen Thoughts Spanning Across Bottomless Chasms	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Ghost	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Ghost Serpent	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Glittering River of Stars	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Goliri Ardat	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Gurey Cwili	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Hammerer	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Haslush Ikzeteri	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Ibak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Ibery Ambercomb	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Ilinim Kam	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Ilsa Zileti	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Imaya Kuroshka	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Iroro	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Jade Witelsin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Dokochin	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kael Tverinov	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kalan	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kana Tverinov	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kiana	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kilnfather	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kirielle Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kirithishli Korisova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kirma	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kopriva Reid	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Krantin Keklos	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kylae Kuosi	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Kyron	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Lukav Teklo	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Geode	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Maya	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Memory of Sublime Glories	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Mind Like Fire	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Naim	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Neoluma-Manu Iljatir	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Night Dream	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Nirthak	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Nochka Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Nora 	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Oganj	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Oran Skarna	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Orinus	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Orissa Siqi Taramatula	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Princess	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Quatach-Ichl	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Raynie	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Rea Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Refuge in Void	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Sauh Sashal	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Seeker of the Eight Universal Paths	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} She Who Eats Fire and Sees Gold	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Silver One	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Silverlake	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Spear of Resolve Striking Straight at the Heart of the Matter	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Stonechild	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Storm Dream	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Sudomir Kandrei	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Taiven	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Tesen Zveri	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Tinami Aope	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Torun	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Ulanna Taramatula	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Urik Kreshna	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Vani	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Vatimah Tinc	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Vazen	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Veil	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Veyers Boranova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Violeteye	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Voice of Peace	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Watchful Eyes That Miss Nothing of Importance	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Xvim Chao	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Zenomir Olgai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
{12+} Zoltan House Heir	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Abyss of Time - 1 to 12
<6,000,000+> Cyoria residents	Quatach-Ichl | Sudomir Kandrei | Vatimah Tinc	Murdered during the Invasion of Cyoria led by Quatach-Ichl, Sudomir Kandrei and Vatimah Tinc (population of 500 thousand mentioned, 500 thousand times 12 loops)	clone | non-canon	Abyss of Time - 1 to 12
<600,000,000+> Altazia inhabitants	Panaxeth	Erased alongside the copied world by Panaxeth (population of at least 50 millions stated by author, 50 millions times 12 loops)	clone | non-canon	Abyss of Time - 1 to 12


{3+} Akoja Stroze	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Alachi Gotrum	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Alanic Zosk	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Andir Kazinski	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Andoril Boranova	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
{3+} Aneka Ashirai	Panaxeth	Presumably erased alongside the copied world by Panaxeth	clone | non-canon	Predator - 1 to 3
