character	killed by	death	type	chapter
The Razor	The Razor | The Hero | The Narrator	Destroyed herself while fighting the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter IV: The Empty Cup / Be Formless, Shapeless
The Shifting Mound	The Long Quiet	Destroyed by the Hero, awakened as the Long Quiet (dependent on player choice)	determinant	The End of Everything / Your New World
The Spectre	The Hero | The Narrator	Slain alongside the Hero's body when he stabbed himself in the heart on orders from the Narrator (revived in the next Construct as the Princess and the Dragon)	revived	Chapter II: The Spectre / Accepted Possession / The Exorcist
The Stranger	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (dependent on player choice)	determinant	The End of Everything / The Heart of the Shifting Mound / A New and Unending Dawn (Stranger)
The Tower	The Hero | The Narrator	Achilles' tendon slashed and stabbed multiple times in the chest by the Hero on orders from the Narrator (revived in the next Construct as the Fury)	revived	Chapter II: The Tower / Godkiller
The Wild	The Hero | The Narrator	Stabbed in the heart by the Hero on orders from the Narrator (revived as the Shifting Mound's vessel)	revived	Chapter III: The Wild / The Wound / Slay the Princess
The Witch	The Witch	Crushed by the wilds of the Cabin she controls while trying to kill the Hero (revived in the next Construct as the Wild)	revived	Chapter II: The Witch / Playing It Safe
The Witch	The Witch | The Hero | The Narrator	Crushed by the wilds of the Cabin she controls while wounded by the Hero on orders from the Narrator (revived in the next Construct as the Wild)	revived	Chapter II: The Witch / Knives Out and Masks Off
{2+} The Hero	The Apotheosis	Unravelled multiple times by the Apotheosis (reborn via the Apotheosis)	revived	Chapter III: The Apotheosis / Grace
{24+} The Adversary	The Hero | The Narrator	Brutally murdered in a fight against the Hero on orders from the Narrator (dozens mentioned) (revived due to being perceived as immortal)	revived	Chapter II: The Adversary / That Which Cannot Die Cannot Die...
{24+} The Hero	The Adversary	Brutally murdered in a fight against the Adversary (dozens mentioned) (revived by the Voice of the Stubborn)	revived	Chapter II: The Adversary / That Which Cannot Die Cannot Die...
{4} The Hero	The Fury | The Hero	Unwound again by the Fury, allowed himself to die via the Voice of the Stubborn (immediately revived in the Cabin)	revived	Chapter III: The Fury / Quantum Beak
{5} The Hero	The Shifting Mound | The Hero	Erased alongside the world by the Shifting Mound after refusing to proceed to the Cabin (revived in the next Construct)	revived	The Spaces Between / Just As You Once Were Nothing
{8} The Hero	The Razor	Skewered by the Razor with a concealed blade, each time trying a strategy from a different Voice (revived in the next Construct)	revived	Chapter III: No Way Out / The Princess skewers you again and again
{8} The Hero	The Razor	Skewered by the Razor with a concealed blade, each time trying a strategy from a different Voice (revived in the next Construct)	revived	Chapter III: The Arms Race / The Princess skewers you again and again
