character	killed by	death	type	mission
<1> Munchkin Maestro	Lightning's Party	Slain by Lightning's Party		Mission 43 - The Hero Never Dies
<1> Mushussu	Lightning's Party	Slain by Lightning's Party		Mission 24 - A Potent Sting
<1> Neochu	Lightning's Party	Slain by Lightning's Party		Mission 45 - Emergent Evolution
<1> Neochu	Lightning's Party	Slain by Lightning's Party		Mission 55 - Can't We All Just Get Along?
<1> Ochu	Lightning's Party	Slain by Lightning's Party		Mission 39 - Seeing Stars
<1> Penanggalan	Lightning's Party	Slain by Lightning's Party		Mission 26 - So Shrill, the Cry
<1> Pulsework Centurion	Lightning's Party	Slain by Lightning's Party		Mission 58 - The Culler of Many
<1> Pulsework Champion	Lightning's Party	Slain by Lightning's Party		Mission 17 - A Widow's Wrath
<1> Pulsework Champion	Lightning's Party	Slain by Lightning's Party		Mission 31 - Newfound Purpose
<1> Rakshasa	Lightning's Party	Slain by Lightning's Party		Mission 08 - The Eleventh Hour
<1> Raktavija	Lightning's Party	Slain by Lightning's Party		Mission 47 - Unfocused Rage
<1> Syphax	Lightning's Party	Slain by Lightning's Party		Mission 30 - Syphax, the Insidious
<1> Tonberry	Lightning's Party	Slain by Lightning's Party		Mission 34 - Zenobia, The Butcher
<1> Tyrant	Lightning's Party	Slain by Lightning's Party		Mission 49 - Tyrannicide
<1> Ugallu	Lightning's Party	Slain by Lightning's Party		Mission 03 - Massif Contamination
<1> Ugallu	Lightning's Party	Slain by Lightning's Party		Mission 56 - A Toothy Grin
<1> Uridimmu	Lightning's Party	Slain by Lightning's Party		Mission 02 - Goodwill Hunting
<1> Vercingetorix	Lightning's Party	Slain by Lightning's Party		Mission 64 - The Doomherald
<1> Vetala	Lightning's Party	Slain by Lightning's Party		Mission 25 - Spectral Haunt
<1> Zirnitra	Lightning's Party	Slain by Lightning's Party		Mission 46 - On Silent Wings
<1> Zirnitra	Lightning's Party	Slain by Lightning's Party		Mission 52 - Head in the Clouds
<1> Zirnitra	Lightning's Party	Slain by Lightning's Party		Mission 53 - Freedom from Fear
<1> Zirnitra	Lightning's Party	Slain by Lightning's Party		Mission 59 - Two-faced Fiend
<26> Numidia	Lightning's Party	Slain by Lightning's Party		Mission 30 - Syphax, the Insidious
<2> Alraune	Lightning's Party	Slain by Lightning's Party		Mission 57 - What's Yours is Brine
<2> Amam	Lightning's Party	Slain by Lightning's Party		Mission 36 - Dark Deliverance
<2> Ceratosaur	Lightning's Party	Slain by Lightning's Party		Mission 14 - Defender of the Flock
<2> Cryptos	Lightning's Party	Slain by Lightning's Party		Mission 22 - Infernal Machine
<2> Goblin	Lightning's Party	Slain by Lightning's Party		Mission 20 - Words Unspoken
<2> Microchu	Lightning's Party	Slain by Lightning's Party		Mission 39 - Seeing Stars
<2> Raktavija	Lightning's Party	Slain by Lightning's Party		Mission 62 - Indomitable Will
<2> Sahagin	Lightning's Party	Slain by Lightning's Party		Mission 14 - Defender of the Flock
<2> Sahagin	Lightning's Party	Slain by Lightning's Party		Mission 16 - Surrogate Slayer
<2> Verdelet	Lightning's Party	Slain by Lightning's Party		Mission 04 - A Hero's Charge
<2> Verdelet	Lightning's Party	Slain by Lightning's Party		Mission 40 - Solar Power
<2> Yakshini	Lightning's Party	Slain by Lightning's Party		Mission 24 - A Potent Sting
<3> Ceratoraptor	Lightning's Party	Slain by Lightning's Party		Mission 59 - Two-faced Fiend
<3> Flan	Lightning's Party	Slain by Lightning's Party		Mission 08 - The Eleventh Hour
<3> Gelatitan	Lightning's Party	Slain by Lightning's Party		Mission 60 - Dégelà Vu
<3> Goblin	Lightning's Party	Slain by Lightning's Party		Mission 13 - Eternity Unpromised
<3> Sahagin	Lightning's Party	Slain by Lightning's Party		Mission 57 - What's Yours is Brine
<3> Seeker	Lightning's Party	Slain by Lightning's Party		Mission 31 - Newfound Purpose
<3> Tonberry	Lightning's Party	Slain by Lightning's Party		Mission 41 - Gaian Grudge
<3> Verdelet	Lightning's Party	Slain by Lightning's Party		Mission 38 - Moonlit Madness
<4> Adroa	Lightning's Party	Slain by Lightning's Party		Mission 04 - A Hero's Charge
<4> Alraune	Lightning's Party	Slain by Lightning's Party		Mission 53 - Freedom from Fear
<4> Borgbear	Lightning's Party	Slain by Lightning's Party		Mission 42 - Antihero
<4> Ceratoraptor	Lightning's Party	Slain by Lightning's Party		Mission 16 - Surrogate Slayer
<4> Ceratosaur	Lightning's Party	Slain by Lightning's Party		Mission 16 - Surrogate Slayer
<4> Chonchon	Lightning's Party	Slain by Lightning's Party		Mission 26 - So Shrill, the Cry
<4> Gorgonopsid	Lightning's Party	Slain by Lightning's Party		Mission 02 - Goodwill Hunting
<4> Munchkin	Lightning's Party	Slain by Lightning's Party		Mission 06 - No Place Like Home
<4> Munchkin	Lightning's Party	Slain by Lightning's Party		Mission 56 - A Toothy Grin
<4> Uridimmu	Lightning's Party	Slain by Lightning's Party		Mission 19 - Triangle of Tragedy
<4> Verdelet	Lightning's Party	Slain by Lightning's Party		Mission 48 - The Abyss Stares Back
<5> Picochu	Lightning's Party	Slain by Lightning's Party		Mission 55 - Can't We All Just Get Along?
<5> Rafflesia	Lightning's Party	Slain by Lightning's Party		Mission 37 - Dying of the Light
<6> Adroa	Lightning's Party	Slain by Lightning's Party		Mission 11 - Pride Before a Fall
<6> Goblin	Lightning's Party	Slain by Lightning's Party		Mission 15 - Tribal Warfare
Anavatapta Warmech	Lightning | Snow Villiers | Oerba Dia Vanille	Slain by Lightning, Snow Villiers and Oerba Dia Vanille		
Anima	Lightning | Snow Villiers | Sazh Katzroy	Slain by Lightning, Snow Villiers and Sazh Katzroy		
Aster Protoflorian	Lightning | Hope Estheim	Slain by Lightning and Hope Estheim		
Bandersnatch	Lightning's Party	Slain by Lightning's Party		
Beta Behemoth	Snow Villiers | Gadot | Lebreau	Slain by Snow Villiers, Gadot and Lebreau		
Cid Raines	Rygdea | Cid Raines	Shot in the head by Rygdea on his own request		
Dahaka	Lightning's Party	Slain by Lightning's Party		
Dreadnought	Lightning | Sazh Katzroy | Oerba Dia Vanille	Slain by Lightning, Sazh Katzroy and Oerba Dia Vanille		
Enki	Oerba Dia Vanille | Sazh Katzroy	Slain by Oerba Dia Vanille and Sazh Katzroy		
Enlil	Oerba Dia Vanille | Sazh Katzroy	Slain by Oerba Dia Vanille and Sazh Katzroy		
Galenth Dysley	Lightning's Party	Slain by Lightning's Party		
Garuda Interceptor	Lightning | Sazh Katzroy | Oerba Dia Vanille	Slain by Lightning, Sazh Katzroy and Oerba Dia Vanille		
Jabberwocky	Lightning's Party	Slain by Lightning's Party		
Jihl Nabaat	Galenth Dysley	Struck down by Galenth Dysley using his magic		
Kalavinka Striker	Lightning | Hope Estheim | Oerba Yun Fang	Slain by Lightning, Hope Estheim and Oerba Yun Fang		
Lightning and Serah's father		Died from unknown causes		
Lightning and Serah's mother		Died from an illness		
Manasvin Warmech	Lightning | Snow Villiers | Oerba Dia Vanille	Slain by Lightning, Snow Villiers and Oerba Dia Vanille		
Menrva	Menrva	Let itself be assimilated into Orphan		
Midlight Reaper	Oerba Dia Vanille | Sazh Katzroy	Slain by Oerba Dia Vanille and Sazh Katzroy		
Nora Estheim	Jihl Nabaat | Yaag Rosch | Galenth Dysley	Fell to her death after the bridge she was on was destroyed by a Skytank during the Purge led by Jihl Nabaat and Yaag Rosch on orders from Galenth Dysley		
Orphan	Lightning's Party	Slain by Lightning's Party		
PSICOM Marauder	Lightning | Sazh Katzroy	Slain by Lightning and Sazh Katzroy		
Tiamat Eliminator	Lightning's Party	Slain by Lightning's Party		
Ushumgal Subjugator	Lightning | Hope Estheim | Oerba Yun Fang	Slain by Lightning, Hope Estheim and Oerba Yun Fang		
Wladislaus	Lightning's Party	Slain by Lightning's Party		
Yaag Rosch	Yaag Rosch	Blew himself up with a grenade		
